Opposition,Score,Venue,City,Year
Derbyshire,589,Stanley Park,Blackpool,1994.0
Durham,562,Eastwood Gardens,Gateshead Fell,1992.0
Essex,686,County Ground,Chelmsford,1996.0
Glamorgan,564-9d,Old Trafford,Manchester,1938.0
Gloucestershire,474-3d,Aigburth,Liverpool,1903.0
Hampshire,676-7d,Old Trafford,Manchester,1911.0
Kent,531,Old Trafford,Manchester,1906.0
Leicestershire,590,Grace Road,Leicester,1899.0
Middlesex,734-5d,Old Trafford,Manchester,2003.0
Northamptonshire,600-6d,Old Trafford,Manchester,2001.0
Nottinghamshire,627,Trent Bridge,Nottingham,1905.0
Somerset,801,County Ground,Taunton,1895.0
Surrey,863,The Oval,London,1990.0
Sussex,640-8d,County Ground,Hove,1937.0
Warwickshire,781,Edgbaston,Birmingham,2003.0
Worcestershire,592-4d,New Road,Worcester,1929.0
Yorkshire,537,Old Trafford,Manchester,2005.0
