Position,Team,Played,Drawn,Lost,Goals For,Goals Against,Goal Difference,Points 1
1.0,Burscough,38.0,7.0,5.0,93.0,45.0,+48,59
2.0,Rhyl,38.0,11.0,4.0,76.0,30.0,+46,57
3.0,Horwich RMI,38.0,10.0,6.0,77.0,35.0,+42,54
4.0,Stalybridge Celtic,38.0,15.0,6.0,60.0,32.0,+28,49
5.0,Winsford United,38.0,10.0,10.0,72.0,48.0,+24,46
6.0,Darwen,38.0,12.0,9.0,68.0,46.0,+22,46
7.0,Lancaster City,38.0,11.0,10.0,69.0,54.0,+15,45
8.0,Congleton Town,38.0,14.0,11.0,52.0,35.0,+17,40
9.0,Penrith,38.0,6.0,15.0,68.0,61.0,+7,40
10.0,Accrington Stanley,38.0,12.0,13.0,56.0,55.0,+1,38
11.0,Leek Town,38.0,9.0,15.0,42.0,44.0,−2,37
12.0,Curzon Ashton,38.0,8.0,16.0,46.0,47.0,−1,36
13.0,Ashton United,38.0,10.0,15.0,55.0,69.0,−14,36
14.0,Bootle,38.0,6.0,18.0,55.0,79.0,−24,32 2
15.0,Prescot Cables,38.0,13.0,16.0,50.0,60.0,−10,31
16.0,Formby,38.0,8.0,20.0,48.0,68.0,−20,28
17.0,Leyland Motors,38.0,10.0,21.0,34.0,74.0,−40,24
18.0,Glossop,38.0,11.0,21.0,29.0,67.0,−38,23
19.0,St Helens Town,38.0,10.0,23.0,29.0,80.0,−51,20
20.0,Nantwich Town,38.0,5.0,27.0,43.0,93.0,−50,17
