Pick,Player,Team,Position,School
1.0,Delmon Young,Tampa Bay Devil Rays,OF,Adolfo Camarillo High School
2.0,Rickie Weeks,Milwaukee Brewers,2B,Southern University
3.0,Kyle Sleeth,Detroit Tigers,RHP,Wake Forest University
4.0,Tim Stauffer,San Diego Padres,RHP,University of Richmond
5.0,Chris Lubanski,Kansas City Royals,CF,Kennedy-Kenrick High School (PA)
6.0,Ryan Harvey,Chicago Cubs,CF,Dunedin High School
7.0,Nick Markakis,Baltimore Orioles,OF,Young Harris College
8.0,Paul Maholm,Pittsburgh Pirates,LHP,Mississippi State
9.0,John Danks,Texas Rangers,LHP,Round Rock High School
10.0,Ian Stewart,Colorado Rockies,3B,La Quinta High School
11.0,Michael Aubrey,Cleveland Indians,1B,Tulane University
12.0,Lastings Milledge,New York Mets,OF,Lakewood Ranch
13.0,Aaron Hill,Toronto Blue Jays,SS,Louisiana State University
14.0,Ryan Wagner,Cincinnati Reds,RHP,University of Houston
15.0,Brian Anderson,Chicago White Sox,CF,University of Arizona
16.0,Jeff Allison,Florida Marlins,RHP,Peabody Veterans Memorial High School (MA)
17.0,David Murphy,Boston Red Sox,CF,Baylor University
18.0,Brad Snyder,Cleveland Indians,RF,Ball State University
19.0,Conor Jackson,Arizona Diamondbacks,3B,UC Berkeley
20.0,Chad Cordero,Montreal Expos,RHP,Cal State Fullerton
21.0,Matt Moses,Minnesota Twins,3B,Mills E. Godwin High School
22.0,David Aardsma,San Francisco Giants,RHP,Rice University
23.0,Brandon Wood,Anaheim Angels,SS,Horizon High School
24.0,Chad Billingsley,Los Angeles Dodgers,RHP,Defiance High School
25.0,Brad Sullivan,Oakland Athletics,RHP,University of Houston
26.0,Brian Snyder,Oakland Athletics,3B,Stetson University
27.0,Eric Duncan,New York Yankees,3B,Seton Hall Preparatory School
28.0,Daric Barton,St. Louis Cardinals,C,Marina High School
29.0,Carlos Quentin,Arizona Diamondbacks,OF,Stanford University
30.0,Mitch Maier,Kansas City Royals,C,University of Toledo
