Heat,Lane,Name,Nationality,Time
6.0,4.0,Lenny Krayzelburg,United States,1:58.40
5.0,4.0,Aaron Peirsol,United States,1:59.10
6.0,6.0,Cameron Delaney,Australia,1:59.61
6.0,5.0,Matt Welsh,Australia,1:59.76
4.0,1.0,Răzvan Florea,Romania,1:59.79
4.0,8.0,Örn Arnarson,Iceland,1:59.80
5.0,6.0,Emanuele Merisi,Italy,1:59.92
6.0,2.0,Sergey Ostapchuk,Russia,2:00.17
4.0,4.0,Gordan Kožulj,Croatia,2:00.19
5.0,5.0,Rogério Romero,Brazil,2:00.48
4.0,6.0,Chris Renaud,Canada,2:00.51
5.0,7.0,Marko Strahija,Croatia,2:00.72
5.0,2.0,Yoav Gath,Israel,2:00.80
3.0,2.0,Klaas-Erik Zwering,Netherlands,2:00.94
4.0,3.0,Volodymyr Nikolaychuk,Ukraine,2:01.07
4.0,5.0,Leonardo Costa,Brazil,2:01.08
5.0,3.0,Simon Dufour,France,2:01.09
6.0,7.0,Adam Ruckwood,Great Britain,2:01.11
6.0,1.0,Simon Militis,Great Britain,2:01.20
6.0,8.0,Dustin Hersee,Canada,2:01.34
6.0,3.0,Ralf Braun,Germany,2:01.35
3.0,5.0,Scott Talbot-Cameron,New Zealand,2:01.53
3.0,7.0,Blaž Medvešek,Slovenia,2:01.67
2.0,2.0,Neisser Bent,Cuba,2:02.05
5.0,1.0,Mirko Mazzari,Italy,2:02.13
4.0,7.0,Fu Yong,China,2:02.70
3.0,4.0,Markus Rogan,Austria,2:02.84
3.0,3.0,Alejandro Bermúdez,Colombia,2:03.43
5.0,8.0,Guillermo Mediano,Spain,2:03.45
2.0,4.0,Mario Carvalho,Portugal,2:03.82
3.0,6.0,Miroslav Machovič,Slovakia,2:04.73
3.0,8.0,Arūnas Savickas,Lithuania,2:05.06
1.0,3.0,Alex Fong,Hong Kong,2:05.47
2.0,6.0,Eduardo Germán Otero,Argentina,2:05.51
2.0,7.0,Torwai Sethsothorn,Thailand,2:05.52
2.0,3.0,Ahmed Hussein,Egypt,2:06.10
2.0,8.0,Gary Tan,Singapore,2:06.32
1.0,4.0,Andrei Mihailov,Moldova,2:06.67
2.0,1.0,Lee Jong-Min,South Korea,2:07.14
1.0,5.0,Ivan Angelov,Bulgaria,2:07.30
1.0,7.0,Guillermo Cabrera,Dominican Republic,2:08.22
3.0,1.0,Alex Lim Keng Liat,Malaysia,2:08.23
1.0,6.0,Miloš Cerović,Yugoslavia,2:09.07
1.0,2.0,Aleksandr Yegorov,Kyrgyzstan,2:13.85
4.0,2.0,Viktor Bodrogi,Hungary,DSQ
2.0,5.0,Simon Thirsk,South Africa,DNS
