Name,Years,Tests,Drew,Lost,Win percentage
Alex McDonald,1949,4.0,0.0,4.0,0%
Tom Morrison,"1950, 55–56",12.0,1.0,3.0,66.7%
Len Clode,1951,3.0,0.0,0.0,100%
Arthur Marslin,1953–1954,5.0,0.0,2.0,60%
Dick Everest,1957,2.0,0.0,0.0,100%
Jack Sullivan,1958–1960,11.0,1.0,4.0,54.5%
Neil McPhail,1961–1965,20.0,2.0,2.0,80%
Ron Bush,1962,2.0,0.0,0.0,100%
Sir Fred Allen,1966–1968,14.0,0.0,0.0,100%
Ivan Vodanovich,1969–1971,10.0,1.0,5.0,40%
Bob Duff,1972–1973,8.0,1.0,1.0,75%
John Stewart,1974–1976,11.0,1.0,4.0,54.5%
Jack Gleeson,1977–1978,13.0,0.0,3.0,76.9%
Eric Watson,1979–1980,9.0,0.0,4.0,55.5%
Peter Burke,1981–1982,11.0,0.0,2.0,81.8%
Bryce Rope,1983–1984,12.0,1.0,2.0,75%
Sir Brian Lochore,1985–1987,18.0,1.0,3.0,77.7%
Alex Wyllie,1988–1991,29.0,1.0,3.0,86.2%
Laurie Mains,1992–1995,34.0,1.0,10.0,67.6%
John Hart,1996–1999,41.0,1.0,9.0,75.6%
Wayne Smith,2000–2001,17.0,0.0,5.0,70.5%
John Mitchell,2002–2003,28.0,1.0,4.0,82.1%
Sir Graham Henry,2004–2011,103.0,0.0,15.0,85.4%
Steve Hansen,2012–,25.0,1.0,1.0,92%
