Map Key,Commune,Canton,District,Population
1.0,Beaufort,Echternach,Grevenmacher,2180.0
2.0,Bech,Echternach,Grevenmacher,1076.0
3.0,Beckerich,Redange,Diekirch,2307.0
4.0,Berdorf,Echternach,Grevenmacher,1695.0
5.0,Bertrange,Luxembourg,Luxembourg,6446.0
6.0,Bettembourg,Esch-sur-Alzette,Luxembourg,9809.0
7.0,Bettendorf,Diekirch,Diekirch,2493.0
8.0,Betzdorf,Grevenmacher,Grevenmacher,3258.0
9.0,Bissen,Mersch,Luxembourg,2745.0
10.0,Biwer,Grevenmacher,Grevenmacher,1638.0
11.0,Boevange-sur-Attert,Mersch,Luxembourg,2000.0
12.0,Boulaide,Wiltz,Diekirch,964.0
13.0,Bourscheid,Diekirch,Diekirch,1359.0
14.0,Bous,Remich,Grevenmacher,1372.0
15.0,Clervaux,Clervaux,Diekirch,4564.0
16.0,Colmar-Berg,Mersch,Luxembourg,1954.0
17.0,Consdorf,Echternach,Grevenmacher,1813.0
18.0,Contern,Luxembourg,Luxembourg,3490.0
19.0,Dalheim,Remich,Grevenmacher,2014.0
20.0,Diekirch,Diekirch,Diekirch,6413.0
21.0,Differdange,Esch-sur-Alzette,Luxembourg,21869.0
22.0,Dippach,Capellen,Luxembourg,3564.0
23.0,Dudelange,Esch-sur-Alzette,Luxembourg,18657.0
24.0,Echternach,Echternach,Grevenmacher,4960.0
25.0,Ell,Redange,Diekirch,1125.0
26.0,Erpeldange,Diekirch,Diekirch,2248.0
27.0,Esch-sur-Alzette,Esch-sur-Alzette,Luxembourg,30630.0
28.0,Esch-sur-Sûre,Wiltz,Diekirch,324.0
29.0,Eschweiler,Wiltz,Diekirch,832.0
30.0,Ettelbruck,Diekirch,Diekirch,7837.0
31.0,Feulen,Diekirch,Diekirch,1574.0
32.0,Fischbach,Mersch,Luxembourg,869.0
33.0,Flaxweiler,Grevenmacher,Grevenmacher,1758.0
34.0,Frisange,Esch-sur-Alzette,Luxembourg,3778.0
35.0,Garnich,Capellen,Luxembourg,1802.0
36.0,Goesdorf,Wiltz,Diekirch,1270.0
37.0,Grevenmacher,Grevenmacher,Grevenmacher,4347.0
38.0,Grosbous,Redange,Diekirch,878.0
39.0,Heffingen,Mersch,Luxembourg,1052.0
40.0,Hesperange,Luxembourg,Luxembourg,13411.0
41.0,Hobscheid,Capellen,Luxembourg,3079.0
42.0,Junglinster,Grevenmacher,Grevenmacher,6524.0
43.0,Käerjeng,Capellen,Luxembourg,9722.0
44.0,Kayl,Esch-sur-Alzette,Luxembourg,7918.0
45.0,Kehlen,Capellen,Luxembourg,5038.0
46.0,Kiischpelt,Wiltz,Diekirch,965.0
47.0,Koerich,Capellen,Luxembourg,2164.0
48.0,Kopstal,Capellen,Luxembourg,3170.0
49.0,Lac de la Haute-Sûre,Wiltz,Diekirch,1545.0
50.0,Larochette,Mersch,Luxembourg,2016.0
51.0,Lenningen,Remich,Grevenmacher,1722.0
52.0,Leudelange,Esch-sur-Alzette,Luxembourg,2151.0
53.0,Lintgen,Mersch,Luxembourg,2567.0
54.0,Lorentzweiler,Mersch,Luxembourg,3438.0
