Name,Championship,League Cup,FA Cup,Total
Leon Best Category:Articles with hCards,10.0,1.0,0.0,11.0
Michael Doyle Category:Articles with hCards,7.0,0.0,1.0,8.0
Elliott Ward Category:Articles with hCards,7.0,0.0,0.0,7.0
Stephen Hughes Category:Articles with hCards,7.0,0.0,0.0,7.0
Isaac Osbourne Category:Articles with hCards,5.0,1.0,0.0,6.0
Arjan De Zeeuw Category:Articles with hCards,6.0,0.0,0.0,6.0
Daniel Fox Category:Articles with hCards,5.0,0.0,0.0,5.0
Jay Tabb Category:Articles with hCards,4.0,0.0,0.0,4.0
Michael Mifsud Category:Articles with hCards,4.0,0.0,0.0,4.0
Robbie Simpson Category:Articles with hCards,3.0,0.0,0.0,3.0
David McNamee Category:Articles with hCards,3.0,0.0,0.0,3.0
Kevin Kyle Category:Articles with hCards,3.0,0.0,0.0,3.0
Scott Dann Category:Articles with hCards,3.0,0.0,0.0,3.0
Gary Borrowdale Category:Articles with hCards,3.0,0.0,0.0,3.0
Dele Adebola Category:Articles with hCards,2.0,1.0,0.0,3.0
Kevin Thornton Category:Articles with hCards,2.0,0.0,0.0,2.0
Michael Hughes Category:Articles with hCards,2.0,0.0,0.0,2.0
Liam Davis Category:Articles with hCards,2.0,0.0,0.0,2.0
Ellery Cairo Category:Articles with hCards,2.0,0.0,0.0,2.0
Ben Turner Category:Articles with hCards,2.0,0.0,0.0,2.0
Leon McKenzie Category:Articles with hCards,1.0,0.0,0.0,1.0
Marcus Hall Category:Articles with hCards,1.0,0.0,0.0,1.0
Julian Gray Category:Articles with hCards,0.0,0.0,1.0,1.0
Richard Duffy Category:Articles with hCards,1.0,0.0,0.0,1.0
