Season,Series,Team,Races,Wins,Poles,F/Laps,Podiums,Points,Position
2007.0,Master Formula Junior,Javier Juncadella,21.0,7.0,0.0,13.0,13.0,359,2nd
2007.0,Formula BMW ADAC,AM-Holzer Rennsport,6.0,0.0,0.0,0.0,0.0,86,23rd
2008.0,Formula BMW Europe,EuroInternational,16.0,2.0,4.0,1.0,5.0,237,4th
2008.0,Formula BMW World Final,EuroInternational,1.0,0.0,0.0,0.0,0.0,N/A,4th
2008.0,Formula BMW Americas,Euro Junior Team,6.0,1.0,0.0,0.0,3.0,54,NC†
2009.0,Formula BMW Europe,EuroInternational,16.0,1.0,0.0,0.0,7.0,288,2nd
2010.0,Formula 3 Euro Series,Prema Powerteam,18.0,1.0,1.0,4.0,3.0,35,8th
2010.0,GP3 Series,Tech 1 Racing,10.0,0.0,0.0,0.0,1.0,10,14th
2010.0,British Formula Three,Prema Powerteam,3.0,1.0,0.0,2.0,2.0,N/A,NC†
2010.0,Masters of Formula 3,Prema Powerteam,1.0,0.0,0.0,0.0,0.0,N/A,16th
2010.0,Macau Grand Prix,Prema Powerteam,1.0,0.0,0.0,0.0,0.0,N/A,NC
2011.0,Formula 3 Euro Series,Prema Powerteam,27.0,4.0,4.0,3.0,14.0,280,3rd
2011.0,FIA Formula 3 International Trophy,Prema Powerteam,8.0,1.0,0.0,0.0,2.0,72,3rd
2011.0,Masters of Formula 3,Prema Powerteam,1.0,0.0,0.0,0.0,0.0,N/A,NC
2011.0,Macau Grand Prix,Prema Powerteam,1.0,1.0,0.0,0.0,1.0,N/A,1st
2012.0,Formula 3 Euro Series,Prema Powerteam,24.0,5.0,5.0,6.0,6.0,240,1st
2012.0,FIA European Formula 3 Championship,Prema Powerteam,20.0,5.0,5.0,5.0,5.0,252,1st
