Year,Starts,Wins,Top 5,Top 10,Poles,Avg. Start,Avg. Finish,Winnings,Position,Team(s)
2000.0,2.0,0.0,0.0,0.0,0.0,20.5,35.0,"$26,740",91st,Brewco Motorsports
2001.0,33.0,0.0,0.0,3.0,0.0,19.9,21.0,"$667,196",16th,Brewco Motorsports
2002.0,34.0,2.0,6.0,14.0,1.0,16.3,15.0,"$1,044,282",6th,Brewco Motorsports
2003.0,19.0,2.0,6.0,10.0,0.0,16.2,12.9,"$586,293",20th,Phoenix Racing Braun Racing
2005.0,16.0,0.0,2.0,5.0,0.0,18.8,22.0,"$323,736",36th,"Rusty Wallace, Inc. Chip Ganassi Racing"
2006.0,20.0,0.0,4.0,8.0,0.0,15.8,17.4,"$522,060",25th,"Rusty Wallace, Inc."
2007.0,22.0,0.0,1.0,5.0,0.0,15.7,19.4,"$465,265",24th,Brewco Motorsports Roush Fenway Racing
2008.0,11.0,0.0,2.0,6.0,2.0,7.7,15.5,"$265,515",40th,Roush Fenway Racing
2010.0,8.0,1.0,4.0,6.0,0.0,14.5,6.2,"$246,139",38th,JR Motorsports
2011.0,6.0,0.0,0.0,1.0,0.0,11.2,21.0,"$100,642",110th 1,Phoenix Racing JR Motorsports
