Corps Name,Number of Finals Appearances,Year of First Appearance,Year of Most Recent Appearance,All Years of Finals Appearances
Santa Clara Vanguard,42.0,1972.0,2013.0,1972–2013
Blue Devils,40.0,1974.0,2013.0,1974–2013
The Cavaliers,40.0,1972.0,2013.0,"1972,1974–77,1979–2013"
Phantom Regiment,40.0,1974.0,2013.0,1974–2013
Madison Scouts,38.0,1973.0,2013.0,"1973–2001,2003–06,2008,2010-2013"
The Cadets,36.0,1975.0,2013.0,"1975, 1977, 1980–2013"
Bluecoats,26.0,1987.0,2013.0,"1987-98,2000–2013"
Crossmen,23.0,1977.0,2012.0,"1977-78,1980–82,1984,1989–2004, 2012"
Spirit of Atlanta,20.0,1978.0,2013.0,"1978-88,1990,2002–03,2005–07,2011-13"
Blue Knights,19.0,1991.0,2013.0,"1991-94,1996–2000,2004–13"
Carolina Crown,18.0,1995.0,2013.0,"1995–2001,2003–13"
Glassmen,16.0,1993.0,2010.0,"1993-95,1997–2002,2004–10"
Boston Crusaders,15.0,1999.0,2013.0,1999–2013
27th Lancers,12.0,1972.0,1984.0,"1972-73,1975–84"
Blue Stars,13.0,1972.0,2013.0,"1972-79,2008–11,13"
Bridgemen,10.0,1972.0,1983.0,"1972-73,1976–83"
Freelancers,10.0,1976.0,1992.0,"1976-77,1981–85,1989,1991–92"
Star of Indiana,9.0,1985.0,1993.0,1985-93
Colts,8.0,1993.0,2007.0,"1993-96,1998–99,2001,2007"
Troopers,9.0,1972.0,2009.0,"1972-75,1979,1981,1985–86,2009"
Velvet Knights,8.0,1984.0,1992.0,"1984-90,1992"
Suncoast Sound,7.0,1983.0,1989.0,1983-89
Kilties,6.0,1972.0,1978.0,"1972-75,1977–78"
The Magic,6.0,1994.0,2003.0,"1994–1997,2002–03"
Sky Ryders,6.0,1982.0,1991.0,"1982-83,1986–88,1991"
Guardsmen,4.0,1976.0,1980.0,"1976, 1978–80"
Anaheim Kingsmen,3.0,1972.0,1974.0,1972-74
Muchachos,3.0,1972.0,1974.0,1972-74
North Star,3.0,1978.0,1980.0,1978-80
Argonne Rebels,2.0,1972.0,1973.0,1972-73
Oakland Crusaders,2.0,1975.0,1976.0,1975-76
Seneca Optimists,2.0,1976.0,1977.0,1976-77
Bleu Raeders,1.0,1972.0,1972.0,1972
Black Knights,1.0,1973.0,1973.0,1973
De La Salle Oaklands,1.0,1974.0,1974.0,1974
Des Plaines Vangaurd,1.0,1972.0,1972.0,1972
Dutch Boy,1.0,1990.0,1990.0,1990
Purple Lancers,1.0,1974.0,1974.0,1974
Royal Crusaders,1.0,1975.0,1975.0,1975
Stockton Commodores,1.0,1973.0,1973.0,1973
Cascades,1.0,2002.0,2002.0,2002
