Heat,Lane,Name,Country,Mark
1.0,5.0,Ene Franca Idoko,Nigeria,7.10
1.0,4.0,Yevgeniya Polyakova,Russia,7.20
1.0,3.0,LaVerne Jones-Ferrette,United States Virgin Islands,7.24
1.0,1.0,Lena Berntsson,Sweden,7.26 PB
1.0,2.0,Verena Sailer,Germany,7.28
1.0,6.0,Ivet Lalova,Bulgaria,7.31 SB
1.0,7.0,Ailis McSweeney,Ireland,7.46
1.0,8.0,Nina Kovacic,Slovenia,7.47
2.0,6.0,Tahesia Harrigan,British Virgin Islands,7.12 NR
2.0,4.0,Jeanette Kwakye,United Kingdom,7.13 NR
2.0,3.0,Kim Gevaert,Belgium,7.18
2.0,8.0,Alexis Joyce,United States,7.22
2.0,5.0,Virgen Benavides,Cuba,7.25
2.0,2.0,Inna Eftimova,Bulgaria,7.33
2.0,7.0,Delphine Atangana,Cameroon,7.37
2.0,1.0,Vida Anim,Ghana,7.45
3.0,5.0,Angela Williams,United States,7.12
3.0,4.0,Oludamola Osayomi,Nigeria,7.21
3.0,3.0,Guzel Khubbieva,Uzbekistan,7.27
3.0,6.0,Laura Turner,United Kingdom,7.28 SB
3.0,7.0,Svetlana Nabokina,Russia,7.28
3.0,1.0,Ezinne Okparaebo,Norway,7.34 SB
3.0,8.0,Bettina Müller-Weissina,Austria,7.35 SB
3.0,2.0,Lina Grincikaité,Lithuania,7.41
