Position,Name,Affiliation,Total,Percentage
1.0,"SMITH, D. Orlando",NDP,4300.0,14.72%
2.0,"SKELTON, Ronnie W.",NDP,4165.0,14.26%
3.0,"PARSONS, Eilieene Lucia",NDP,3515.0,12.03%
4.0,"WATTLEY, Paul P.",NDP,3315.0,11.35%
5.0,"GEORGE, Reeial",VIP,3274.0,11.21%
6.0,"PENN-O'NEAL, Irene",VIP,3157.0,10.81%
7.0,"HARRIGAN, Elvis",VIP,3128.0,10.71%
8.0,"PICKERING, Roy",VIP,2766.0,9.47%
9.0,"MADURO, Conrad",IND,590.0,2.02%
10.0,"CLINE, John I.",IND,450.0,1.54%
11.0,"KETTLE, Henry Einstein",IND,220.0,0.75%
12.0,"DE CASTRO, Richard Courtney",IND,172.0,0.59%
13.0,"BARONVILLE, Eilieene E.",IND,142.0,0.49%
