Pick #,NFL Team,Player,Position,College
46.0,Denver Broncos,Andre Townsend,Defensive End,Mississippi
78.0,Denver Broncos,Tony Lilly,Defensive Back,Florida
89.0,Denver Broncos,Randy Robbins,Defensive Back,Arizona
159.0,Denver Broncos,Aaron Smith,Linebacker,Utah State
186.0,Denver Broncos,Clarence Kay,Tight end,Georgia
207.0,Denver Broncos,Winford Hood,Tackle,Georgia
218.0,Denver Broncos,Scott Garnett,Defensive tackle,Washington
245.0,Denver Broncos,Chris Brewer,Running back,Arizona
272.0,Denver Broncos,Bobby Micho,Tight end,Texas
299.0,Denver Broncos,Gene Lang,Running back,Louisiana State
