Name,GP-GS,Gain,Loss,Long,Avg/G
Curtis Brinkley,8-8,416.0,45.0,29.0,46.4
Doug Hogue,9-4,275.0,24.0,20.0,27.9
Paul Chiara,12-0,97.0,2.0,22.0,7.9
Jeremy Sellers,12-0,50.0,1.0,9.0,4.1
Max Suter,12-1,42.0,4.0,12.0,3.2
Derrell Smith,12-0,28.0,6.0,8.0,1.8
Taj Smith,12-12,16.0,0.0,7.0,1.3
Tony Fiammetta,11-8,8.0,0.0,4.0,0.7
John Barker,12-0,3.0,0.0,3.0,0.2
Cameron Dantley,8-1,12.0,35.0,6.0,-2.9
TEAM,9-0,0.0,38.0,0.0,-4.2
Andrew Robinson,11-11,273.0,312.0,18.0,-3.5
Total,12,1220.0,467.0,29.0,62.8
Opponents,12,2687.0,193.0,75.0,207.8
