Level,Shuttles,Cumulative Shuttles,Speed (km/h),Shuttle Time (seconds),Total level time (s),Distance (m),Cumulative Distance (m),Cumulative Time (min and seconds)
1.0,7.0,7.0,8.0,9.0,63.0,140.0,140.0,1:03
2.0,8.0,15.0,9.0,8.0,64.0,160.0,300.0,2:07
3.0,8.0,23.0,9.5,7.58,60.63,160.0,460.0,3:08
4.0,9.0,32.0,10.0,7.2,64.8,180.0,640.0,4:12
5.0,9.0,41.0,10.5,6.86,61.71,180.0,820.0,5:14
6.0,10.0,51.0,11.0,6.55,65.5,200.0,1020.0,6:20
7.0,10.0,61.0,11.5,6.26,62.61,200.0,1220.0,7:22
8.0,11.0,72.0,12.0,6.0,66.0,220.0,1440.0,8:28
9.0,11.0,83.0,12.5,5.76,63.36,220.0,1660.0,9:31
10.0,11.0,94.0,13.0,5.54,60.92,220.0,1880.0,10:32
11.0,12.0,106.0,13.5,5.33,64.0,240.0,2120.0,11:36
12.0,12.0,118.0,14.0,5.14,61.71,240.0,2360.0,12:38
13.0,13.0,131.0,14.5,4.97,64.55,260.0,2620.0,13:43
14.0,13.0,144.0,15.0,4.8,62.4,260.0,2880.0,14:45
15.0,13.0,157.0,15.5,4.65,60.39,260.0,3140.0,15:46
16.0,14.0,171.0,16.0,4.5,63.0,280.0,3420.0,16:49
17.0,14.0,185.0,16.5,4.36,61.09,280.0,3700.0,17:50
18.0,15.0,200.0,17.0,4.24,63.53,300.0,4000.0,18:54
19.0,15.0,215.0,17.5,4.11,61.71,300.0,4300.0,19:56
20.0,16.0,231.0,18.0,4.0,64.0,320.0,4620.0,21:00
21.0,16.0,247.0,18.5,3.89,62.27,320.0,4940.0,22:03
