Draw,Artist,Song,Televote,Points,Professional Jury,TRM Committee,Total,Place
1.0,Liusia Znamensky,"""Don't deceive my heart""",410.0,0.0,3.0,2.0,5.0,11.0
2.0,Elena Dermidjean,"""Living creatures""",1350.0,7.0,5.0,10.0,22.0,5.0
3.0,Scroom,"""Jane""",458.0,0.0,1.0,4.0,5.0,12.0
4.0,Galina Scoda,"""Your own vision""",1329.0,6.0,6.0,12.0,24.0,4.0
5.0,Dana Marchitan,"""Your name""",1223.0,5.0,4.0,3.0,12.0,8.0
6.0,Jay Mon,"""Point of view""",773.0,2.0,2.0,6.0,10.0,9.0
7.0,Catrina Pislaru,"""Dance with me""",644.0,1.0,7.0,5.0,13.0,7.0
8.0,Cristina Rujitcaia,"""You make me feel crazy""",829.0,3.0,3.0,2.0,8.0,10.0
9.0,Geta Burlacu,""" A Century of Love """,4293.0,10.0,12.0,8.0,30.0,1.0
10.0,Edict,"""I believe""",1124.0,4.0,6.0,7.0,17.0,6.0
11.0,Alexa,"""We are one""",7665.0,12.0,8.0,7.0,27.0,3.0
