Week,Date,Opponent,Result,Attendance
1.0,"September 16, 1973",San Diego Chargers,W 38-0,53589.0
2.0,"September 23, 1973",at St. Louis Cardinals,L 34-27,50316.0
3.0,"September 30, 1973",at Philadelphia Eagles,W 28-7,64147.0
4.0,"October 8, 1973",Dallas Cowboys,W 14-7,54314.0
5.0,"October 14, 1973",at New York Giants,W 21-3,70168.0
6.0,"October 21, 1973",St. Louis Cardinals,W 31-13,54381.0
7.0,"October 28, 1973",at New Orleans Saints,L 19-3,66315.0
8.0,"November 5, 1973",at Pittsburgh Steelers,L 21-16,49220.0
9.0,"November 11, 1973",San Francisco 49ers,W 33-9,54381.0
10.0,"November 18, 1973",Baltimore Colts,W 22-14,52675.0
11.0,"November 22, 1973",at Detroit Lions,W 20-0,46807.0
12.0,"December 2, 1973",New York Giants,W 27-24,53590.0
13.0,"December 9, 1973",at Dallas Cowboys,L 27-7,62195.0
14.0,"December 16, 1973",Philadelphia Eagles,W 38-20,49484.0
