No. in series,No. in season,Title,Directed by,Written by,Original air date,Production code
106.0,1.0,"""She's Having My Baby (Part 1)""",Gerry Cohen,Ron Leavitt & Michael G. Moye,"September 8, 1991",6.01
107.0,2.0,"""She's Having My Baby (Part 2)""",Gerry Cohen,Kevin Curran,"September 15, 1991",6.02
108.0,3.0,"""If Al Had a Hammer""",Gerry Cohen,Kevin Curran,"September 22, 1991",6.03
109.0,4.0,"""Cheese, Cues and Blood""",Gerry Cohen,Brian Scully & Allan Davis,"September 29, 1991",6.04
110.0,5.0,"""Looking for a Desk in All the Wrong Places""",Gerry Cohen,Stacie Lipp,"October 6, 1991",6.05
111.0,6.0,"""Buck Has a Bellyache""",Gerry Cohen,Ellen L. Fogle,"October 13, 1991",6.06
112.0,7.0,"""If I Could See Me Now""",Amanda Bearse,Gabrielle Topping,"October 27, 1991",6.07
113.0,8.0,"""God's Shoes""",Gerry Cohen,Ellen L. Fogle,"November 3, 1991",6.08
114.0,9.0,"""Kelly Does Hollywood (Part 1)""",Gerry Cohen,Larry Jacobson,"November 10, 1991",6.09
115.0,10.0,"""Kelly Does Hollywood (Part 2)""",Gerry Cohen,Larry Jacobson,"November 17, 1991",6.10
116.0,11.0,"""Al Bundy, Shoe Dick""",Gerry Cohen,Larry Jacobson,"November 24, 1991",6.11
117.0,12.0,"""So This Is How Sinatra Felt""",Gerry Cohen,Stacie Lipp,"December 1, 1991",6.12
118.0,13.0,"""I Who Have Nothing""",Gerry Cohen,Katherine Green,"December 22, 1991",6.13
119.0,14.0,"""The Mystery of Skull Island""",Gerry Cohen,Kevin Curran,"January 5, 1992",6.14
120.0,15.0,"""Just Shoe It""",Gerry Cohen,Lisa Chernin,"January 19, 1992",6.15
121.0,16.0,"""Rites of Passage""",Gerry Cohen,Ilunga Adell,"February 9, 1992",6.16
122.0,17.0,"""The Egg and I""",Gerry Cohen,Ellen L. Fogle,"February 16, 1992",6.17
123.0,18.0,"""My Dinner With Anthrax""",Gerry Cohen,Larry Jacobson,"February 23, 1992",6.18
124.0,19.0,"""Psychic Avengers""",Amanda Bearse,Calvin Brown Jr.,"March 1, 1992",6.19
125.0,20.0,"""Hi I.Q.""",Gerry Cohen,Steve Crider,"March 22, 1992",6.20
126.0,21.0,"""Teacher Pets""",Gerry Cohen,Katherine Green,"April 5, 1992",6.21
127.0,22.0,"""The Goodbye Girl""",Gerry Cohen,Stacie Lipp,"April 19, 1992",6.22
128.0,23.0,"""The Gas Station Show""",Gerry Cohen,Ron Leavitt & Michael G. Moye,"April 26, 1992",6.23
