Driver,Constructor,Laps,Time/Retired,Grid
Jackie Stewart,Matra - Ford,90.0,2:46:11.2,5.0
Jean-Pierre Beltoise,Matra,90.0,+ 1:33.93,16.0
Pedro Rodríguez,BRM,89.0,+ 1 Lap,11.0
Jacky Ickx,Ferrari,88.0,+ 2 Laps,6.0
Silvio Moser,Brabham - Repco,87.0,+ 3 Laps,17.0
Chris Amon,Ferrari,85.0,+ 5 Laps,1.0
Richard Attwood,BRM,85.0,+ 5 Laps,15.0
Jo Bonnier,McLaren - BRM,82.0,+ 8 Laps,19.0
Graham Hill,Lotus - Ford,81.0,Accident,3.0
Jackie Oliver,Lotus - Ford,80.0,Not Classified,10.0
Dan Gurney,Brabham - Repco,63.0,Throttle,12.0
Jo Siffert,Lotus - Ford,55.0,Gearbox,13.0
John Surtees,Honda,50.0,Alternator,9.0
Piers Courage,BRM,50.0,Spun Off,14.0
Jochen Rindt,Brabham - Repco,39.0,Ignition,2.0
Jack Brabham,Brabham - Repco,22.0,Spun Off,4.0
Bruce McLaren,McLaren - Ford,19.0,Accident,8.0
Denny Hulme,McLaren - Ford,10.0,Ignition,7.0
Lucien Bianchi,Cooper - BRM,9.0,Accident,18.0
