Name,Years,Area,Authority,Decile,Roll
Buller High School,9–15,Westport,State,3.0,361.0
Granity School,1–8,Granity,State,4.0,37.0
Inangahua Junction School,1–6,Inangahua Junction,State,6.0,14.0
Karamea Area School,1–15,Karamea,State,5.0,93.0
Maruia School,1–8,Maruia,State,9.0,19.0
Reefton Area School,1–15,Reefton,State,3.0,206.0
Sacred Heart School,1–8,Reefton,State integrated,4.0,34.0
St Canice's School,1–8,Westport,State integrated,4.0,160.0
Waimangaroa School,1–8,Waimangaroa,State,2.0,18.0
Westport North School,1–8,Westport,State,4.0,260.0
Westport South School,1–8,Westport,State,4.0,274.0
