Rank,Building,Location,Height,Floors
1.0,Terrasses de la Chaudière – Tower 1,Gatineau,124 m (406ft),30.0
2.0,Place de Ville II – Tower C,Downtown Ottawa,112 m (367ft),29.0
3.0,Minto Metropole,Westboro,109 m (354ft),32.0
4.0,Le Parc,Manor Park,104 m (341ft),30.0
5.0,Place du Portage – Tower 1,Gatineau,101 m (331ft),25.0
6.0,R.H. Coats Building,Tunney's Pasture,99 m (324ft),26.0
7.0,Minto Place Suite Hotel,Downtown Ottawa,98 m (322ft),30.0
8.0,Ottawa Marriott Hotel,Downtown Ottawa,96 m (314ft),29.0
9.0,Delta Ottawa City Centre Hotel,Downtown Ottawa,96 m (314ft),26.0
10.0,World Exchange Plaza West,Downtown Ottawa,96 (314ft),20.0
11.0,Place Bell,Downtown Ottawa,94 m (308ft),27.0
12.0,Place Export Canada,Downtown Ottawa,93 m (305ft),26.0
13.0,The Classics,Hurdman,93 m (305ft),29.0
14.0,Canadian Parliament,Parliament Hill,92 m (302ft),13.0
15.0,Island Park Towers III,Westboro,91 m (299ft),26.0
16.0,Constitution Square II,Downtown Ottawa,90 m (296ft),21.0
17.0,The Carlisle,Downtown Ottawa,90 m (296ft),28.0
