Rank,Nation,Gold,Silver,Bronze,Total
1,Russia,9.0,4.0,2.0,15.0
2,Turkey,6.0,1.0,4.0,11.0
3,Iran,2.0,5.0,2.0,9.0
4,Japan,2.0,0.0,5.0,7.0
5,Kazakhstan,1.0,2.0,1.0,4.0
6,Azerbaijan,1.0,1.0,3.0,5.0
7,Kyrgyzstan,1.0,1.0,0.0,2.0
8,United States,1.0,0.0,6.0,7.0
9,Bulgaria,1.0,0.0,1.0,2.0
10,Cuba,0.0,2.0,1.0,3.0
11,Ukraine,0.0,1.0,4.0,5.0
12,Georgia,0.0,1.0,3.0,4.0
12,Mongolia,0.0,1.0,3.0,4.0
12,Sweden,0.0,1.0,3.0,4.0
15,Belarus,0.0,1.0,1.0,2.0
16,Poland,0.0,1.0,0.0,1.0
16,Serbia,0.0,1.0,0.0,1.0
16,Spain,0.0,1.0,0.0,1.0
19,India,0.0,0.0,2.0,2.0
19,Romania,0.0,0.0,2.0,2.0
19,Uzbekistan,0.0,0.0,2.0,2.0
22,Germany,0.0,0.0,1.0,1.0
22,Moldova,0.0,0.0,1.0,1.0
22,South Korea,0.0,0.0,1.0,1.0
Total,Total,24.0,24.0,48.0,96.0
