County,Per capita income,Median household income,Median family income,Population,Number of households
Dallas,"$33,051","$67,037","$84,018",66135.0,25240.0
Dickinson,"$29,459","$50,174","$59,648",16667.0,7554.0
Polk,"$29,246","$56,094","$70,445",430640.0,170197.0
Warren,"$28,798","$62,034","$74,042",46225.0,17262.0
Linn,"$28,239","$53,674","$69,250",211226.0,86134.0
Plymouth,"$28,060","$56,379","$69,261",24986.0,9875.0
Johnson,"$28,008","$51,380","$74,547",130882.0,52715.0
Kossuth,"$27,415","$48,277","$61,012",15543.0,6697.0
Scott,"$27,408","$49,964","$64,513",165224.0,66765.0
United States,"$27,334","$51,914","$62,982",308745538.0,116716292.0
Worth,"$27,240","$49,673","$56,659",7598.0,3172.0
Grundy,"$26,916","$56,184","$68,151",12453.0,5131.0
Iowa County,"$26,721","$56,053","$64,578",16355.0,6677.0
Guthrie,"$26,590","$50,090","$61,951",10954.0,4544.0
Bremer,"$26,522","$55,676","$68,602",24276.0,9385.0
Boone,"$25,998","$49,578","$66,872",26306.0,10728.0
Madison,"$25,711","$53,183","$67,099",15679.0,6025.0
Cerro Gordo,"$25,463","$44,741","$60,148",44151.0,19350.0
Story,"$25,450","$48,248","$74,278",89542.0,34736.0
Mills,"$25,400","$59,481","$73,532",15059.0,5605.0
Clay,"$25,398","$43,542","$56,460",16667.0,7282.0
Iowa State,"$25,335","$48,872","$61,804",3046355.0,1221576.0
Poweshiek,"$25,218","$50,998","$65,744",18914.0,7555.0
Benton,"$25,111","$54,726","$64,970",26076.0,10302.0
Carroll,"$25,094","$47,507","$61,960",20816.0,8683.0
Dubuque,"$25,045","$48,573","$61,138",93653.0,36815.0
O'Brien,"$24,771","$44,018","$59,391",14398.0,6069.0
Hamilton,"$24,765","$46,188","$61,472",15673.0,6540.0
Cedar,"$24,742","$54,321","$63,893",18499.0,7511.0
Marion,"$24,613","$53,370","$65,817",33309.0,12723.0
Humboldt,"$24,568","$45,282","$57,063",9815.0,4209.0
Cherokee,"$24,507","$44,635","$56,696",12072.0,5207.0
Emmet,"$24,371","$42,286","$55,844",10302.0,4236.0
Harrison,"$24,221","$51,303","$63,283",14928.0,5987.0
Audubon,"$24,207","$42,717","$58,641",6119.0,2617.0
Hardin,"$24,154","$44,694","$57,612",17534.0,7296.0
Muscatine,"$24,138","$51,025","$61,445",42745.0,16412.0
Butler,"$24,030","$47,702","$59,641",14867.0,6120.0
Washington,"$23,979","$50,710","$60,466",21704.0,8741.0
Greene,"$23,947","$43,286","$60,133",9336.0,3996.0
Jefferson,"$23,853","$44,167","$55,352",16843.0,6846.0
Ida,"$23,841","$44,521","$58,635",7089.0,3052.0
Sac,"$23,837","$42,986","$54,304",10350.0,4482.0
Pottawattamie,"$23,782","$48,728","$60,354",93158.0,36775.0
Fremont,"$23,612","$47,225","$59,622",7441.0,3064.0
Winneshiek,"$23,608","$50,693","$61,558",21056.0,7997.0
Clinton,"$23,573","$46,170","$58,681",49116.0,20223.0
Adams,"$23,549","$40,368","$52,782",4029.0,1715.0
Adair,"$23,497","$45,202","$57,287",7682.0,3292.0
Buchanan,"$23,437","$51,961","$61,421",20958.0,8161.0
Pocahontas,"$23,385","$42,105","$56,250",7310.0,3233.0
Black Hawk,"$23,357","$44,178","$57,495",131090.0,52470.0
Clarke,"$23,271","$45,596","$54,707",9286.0,3701.0
Jasper,"$23,160","$46,396","$56,484",36842.0,14806.0
Palo Alto,"$23,071","$42,800","$57,208",9421.0,3994.0
Wright,"$23,068","$44,035","$53,890",13229.0,5625.0
Osceola,"$23,063","$43,889","$58,286",6462.0,2682.0
Henry,"$23,056","$41,983","$53,985",20145.0,7666.0
Calhoun,"$23,049","$41,611","$50,037",9670.0,4242.0
