Rnd.,Pick #,NFL team,Pos.,College,Conf.
1.0,1,San Francisco 49ers,QB,Utah,MWC
1.0,2,Miami Dolphins,RB,Auburn,SEC
1.0,3,Cleveland Browns,WR,Michigan,Big Ten
1.0,4,Chicago Bears,RB,Texas,Big 12
1.0,5,Tampa Bay Buccaneers,RB,Auburn,SEC
1.0,6,Tennessee Titans,CB,West Virginia,Big East
1.0,7,Minnesota Vikings,WR,South Carolina,SEC
1.0,8,Arizona Cardinals,CB,Miami (FL),ACC
1.0,9,Washington Redskins,CB,Auburn,SEC
1.0,10,Detroit Lions,WR,USC,Pac-10
1.0,11,Dallas Cowboys,LB,Troy,Sun Belt
1.0,12,San Diego Chargers,LB,Maryland,ACC
1.0,13,New Orleans Saints,OT,Oklahoma,Big 12
1.0,14,Carolina Panthers,LB,Georgia,SEC
1.0,15,Kansas City Chiefs,LB,Texas,Big 12
1.0,16,Houston Texans,DT,Florida State,ACC
1.0,17,Cincinnati Bengals,LB,Georgia,SEC
1.0,18,Minnesota Vikings,DE,Wisconsin,Big Ten
1.0,19,St. Louis Rams,OT,Florida State,ACC
1.0,20,Dallas Cowboys,DE,LSU,SEC
1.0,21,Jacksonville Jaguars,WR,Arkansas,SEC
1.0,22,Baltimore Ravens,WR,Oklahoma,Big 12
1.0,23,Oakland Raiders,CB,Nebraska,Big 12
1.0,24,Green Bay Packers,QB,California,Pac-10
1.0,25,Washington Redskins,QB,Auburn,SEC
1.0,26,Seattle Seahawks,C,Ole Miss,SEC
1.0,27,Atlanta Falcons,WR,UAB,C-USA
1.0,28,San Diego Chargers,DT,Northwestern,Big Ten
1.0,29,Indianapolis Colts,CB,Michigan,Big Ten
1.0,30,Pittsburgh Steelers,TE,Virginia,ACC
1.0,31,Philadelphia Eagles,DT,USC,Pac-10
1.0,32,New England Patriots,G,Fresno State,WAC
2.0,33,San Francisco 49ers,C,Michigan,Big Ten
2.0,34,Cleveland Browns,S,Oklahoma,Big 12
2.0,35,Philadelphia Eagles,WR,Georgia,SEC
2.0,36,Tampa Bay Buccaneers,LB,Nebraska,Big 12
2.0,37,Detroit Lions,DT,USC,Pac-10
2.0,38,Oakland Raiders,CB,Houston,C-USA
2.0,39,Chicago Bears,WR,Oklahoma,Big 12
2.0,40,New Orleans Saints,S,Nebraska,Big 12
2.0,41,Tennessee Titans,OT,Eastern Washington,Big Sky
2.0,42,Dallas Cowboys,LB,Tennessee,SEC
2.0,43,New York Giants,CB,LSU,SEC
2.0,44,Arizona Cardinals,RB,California,Pac-10
2.0,45,Seattle Seahawks,LB,USC,Pac-10
2.0,46,Miami Dolphins,DE,Iowa,Big Ten
2.0,47,New York Jets,K,Ohio State,Big Ten
2.0,48,Cincinnati Bengals,LB,Georgia,SEC
2.0,49,Minnesota Vikings,OT,Ole Miss,SEC
2.0,50,St. Louis Rams,CB,Howard,MEAC
2.0,51,Green Bay Packers,S,Bethune-Cookman,MEAC
2.0,52,Jacksonville Jaguars,OT,Washington,Pac-10
2.0,53,Baltimore Ravens,DE,Oklahoma,Big 12
2.0,54,Carolina Panthers,RB,Louisville,C-USA
2.0,55,Buffalo Bills,WR,Miami (FL),ACC
2.0,56,Denver Broncos,CB,Oklahoma State,Big 12
2.0,57,New York Jets,CB,Clemson,ACC
2.0,58,Green Bay Packers,WR,Texas A&M,Big 12
2.0,59,Atlanta Falcons,DT,Iowa,Big Ten
2.0,60,Indianapolis Colts,CB,Illinois,Big Ten
2.0,61,San Diego Chargers,WR,Northern Colorado,Great West
2.0,62,Pittsburgh Steelers,CB,Florida State,ACC
2.0,63,Philadelphia Eagles,LB,San Diego State,MWC
2.0,64,Baltimore Ravens,OT,Syracuse,Big East
3.0,65,San Francisco 49ers,RB,Miami (FL),ACC
3.0,66,St. Louis Rams,S,Stanford,Pac-10
3.0,67,Cleveland Browns,QB,Akron,MAC
3.0,68,Tennessee Titans,WR,Indiana,Big Ten
3.0,69,Oakland Raiders,QB,Arizona State,Pac-10
3.0,70,Miami Dolphins,LB,Florida,SEC
3.0,71,Tampa Bay Buccaneers,TE,Stanford,Pac-10
3.0,72,Detroit Lions,CB,Stanford,Pac-10
3.0,73,Houston Texans,RB,Oklahoma State,Big 12
3.0,74,New York Giants,DE,Notre Dame,Ind.
3.0,75,Arizona Cardinals,CB,Virginia Tech,ACC
3.0,76,Denver Broncos,CB,Washington State,Pac-10
3.0,77,Philadelphia Eagles,RB,Louisiana Tech,WAC
3.0,78,Oakland Raiders,LB,San Diego State,MWC
3.0,79,Carolina Panthers,G,Alabama,SEC
3.0,80,Minnesota Vikings,CB,Ohio State,Big Ten
3.0,81,St. Louis Rams,C,Nebraska,Big 12
3.0,82,New Orleans Saints,LB,Connecticut,Big East
3.0,83,Cincinnati Bengals,WR,West Virginia,Big East
3.0,84,New England Patriots,CB,Iowa State,Big 12
3.0,85,Seattle Seahawks,QB,Georgia,SEC
3.0,86,Buffalo Bills,TE,Miami (FL),ACC
3.0,87,Jacksonville Jaguars,CB,Wisconsin,Big Ten
3.0,88,New York Jets,DT,Utah,MWC
3.0,89,Carolina Panthers,DT,Missouri,Big 12
3.0,–,Denver Broncos,selection forfeited due to salary-cap violations.,selection forfeited due to salary-cap violations.,selection forfeited due to salary-cap violations.
3.0,90,Atlanta Falcons,LB,Cal Poly,Great West
3.0,91,Tampa Bay Buccaneers,OT,NC State,ACC
3.0,92,Indianapolis Colts,DE,Kentucky,SEC
3.0,93,Pittsburgh Steelers,G,Northwestern,Big Ten
3.0,94,San Francisco 49ers,G,Oregon,Pac-10
3.0,95,Arizona Cardinals,LB,Virginia,ACC
3.0,96,Tennessee Titans,WR,Oklahoma,Big 12
3.0,97,Denver Broncos,CB,Maryland,ACC
3.0,98,Seattle Seahawks,LB,Clemson,ACC
3.0,99,Kansas City Chiefs,P,Tennessee,SEC
3.0,100,New England Patriots,G,Toledo,MAC
3.0,101,Denver Broncos,RB,Ohio State,Big Ten
4.0,102,Philadelphia Eagles,S,Iowa,Big Ten
4.0,103,Cleveland Browns,CB,Oklahoma,Big 12
4.0,104,Miami Dolphins,CB,LSU,SEC
4.0,105,Seattle Seahawks,OT,Florida State,ACC
4.0,106,Chicago Bears,QB,Purdue,Big Ten
4.0,107,Tampa Bay Buccaneers,G,Wisconsin,Big Ten
4.0,108,Tennessee Titans,S,Virginia Tech,ACC
4.0,109,Dallas Cowboys,RB,Minnesota,Big Ten
4.0,110,New York Giants,RB,Southern Illinois,Gateway
4.0,111,Arizona Cardinals,G,Virginia,ACC
4.0,112,Minnesota Vikings,RB,Florida,SEC
4.0,113,Tennessee Titans,OT,Mississippi State,SEC
4.0,114,Houston Texans,WR,Hampton,MEAC
4.0,115,Green Bay Packers,S,San Diego State,MWC
4.0,116,Kansas City Chiefs,WR,Florida State,ACC
