Driver,Constructor,Laps,Time/Retired,Grid
Stirling Moss,Vanwall,18.0,2:59:22.7,2.0
Juan Manuel Fangio,Maserati,18.0,+3:13.9,1.0
Harry Schell,Maserati,18.0,+6:46.8,5.0
Masten Gregory,Maserati,18.0,+8:16.5,7.0
Stuart Lewis-Evans,Vanwall,17.0,+1 lap,8.0
Giorgio Scarlatti,Maserati,17.0,+1 lap,10.0
Jack Brabham,Cooper - Climax,15.0,+3 laps,16.0
Luigi Musso,Ferrari,9.0,Oil leak,3.0
Paco Godia,Maserati,9.0,Engine,12.0
Bruce Halford,Maserati,9.0,Transmission,14.0
Jo Bonnier,Maserati,7.0,Overheating,9.0
Jean Behra,Maserati,3.0,Oil leak,4.0
Roy Salvadori,Cooper - Climax,3.0,Accident,15.0
Tony Brooks,Vanwall,1.0,Engine,6.0
Horace Gould,Maserati,0.0,Accident,11.0
Luigi Piotti,Maserati,0.0,Engine,13.0
