Round,Overall,Player,Position,Nationality,Club team
1.0,6,Mika Zibanejad,Centre,Sweden,Djurgårdens IF Hockey (SEL)
1.0,21 (from Nashville),Stefan Noesen,Right Wing,United States,Plymouth Whalers (OHL)
1.0,24 (from Detroit),Matthew Puempel,Left Wing,Canada,Peterborough Petes (OHL)
2.0,61 (from Boston),Shane Prince,Left Wing,United States,Ottawa 67's (OHL)
4.0,96,Jean-Gabriel Pageau,Centre,Canada,Gatineau Olympiques (QMJHL)
5.0,126,Fredrik Claesson,Defense,Sweden,Djurgårdens IF Hockey (SEL)
6.0,156,Darren Kramer,Centre,Canada,Spokane Chiefs (WHL)
6.0,171 (from Phoenix),Max McCormick,Left Wing,United States,Sioux City Musketeers (USHL)
7.0,186,Jordan Fransoo,Defense,Canada,Brandon Wheat Kings (WHL)
7.0,204 (from Pittsburgh),Ryan Dzingel,Centre,United States,Lincoln Stars (USHL)
