Townland,Area( acres ),Barony,Civil parish,Poor law union
Adamstown,436.0,Kerrycurrihy,Ballinaboy,Cork
Aghamarta,378.0,Kerrycurrihy,Templebreedy,Kinsale
Ardmore,285.0,Kerrycurrihy,Marmullane,Cork
Ardnacloghy,62.0,Kerrycurrihy,Carrigaline,Cork
Ballea,930.0,Kerrycurrihy,Liscleary,Kinsale
Ballinluska,255.0,Kerrycurrihy,Templebreedy,Kinsale
Ballinphelic,564.0,Kerrycurrihy,Liscleary,Kinsale
Ballinrea South,197.0,Kerrycurrihy,Carrigaline,Cork
Ballinreeshig,419.0,Kerrycurrihy,Killanully,Cork
Ballintaggart,100.0,Kerrycurrihy,Carrigaline,Cork
Ballybricken,53.0,Kerrycurrihy,Barnahely,Cork
Ballyduhig South,233.0,Kerrycurrihy,Carrigaline,Cork
Ballyfouloo,140.0,Kerrycurrihy,Monkstown,Cork
Ballygarvan,1251.0,Kerrycurrihy,Carrigaline,Cork
Ballyginnane,394.0,Kerrycurrihy,Liscleary,Kinsale
Ballygrissane,271.0,Kerrycurrihy,Carrigaline,Kinsale
Ballyhemiken,59.0,Kerrycurrihy,Liscleary,Cork
Ballymot,109.0,Kerrycurrihy,Monkstown,Cork
Ballynagrumoolia,424.0,Kerrycurrihy,Ballinaboy,Cork
Ballynametagh,165.0,Kerrycurrihy,Carrigaline,Cork
Ballynaneening,209.0,Kerrycurrihy,Kilpatrick,Kinsale
Ballynoe,204.0,Kerrycurrihy,Ballinaboy,Cork
Barnahely,451.0,Kerrycurrihy,Barnahely,Cork
Barrettshill & Rearour,608.0,Kerrycurrihy,Ballinaboy,Cork
Boycestown,158.0,Kerrycurrihy,Carrigaline,Kinsale
Brownstown,146.0,Kerrycurrihy,Kilpatrick,Kinsale
Carrigaline,84.0,Kerrycurrihy,Liscleary,Cork
Carrigaline East,332.0,Kerrycurrihy,Carrigaline,Cork
Carrigaline Middle,406.0,Kerrycurrihy,Carrigaline,Cork
Carrigaline West,458.0,Kerrycurrihy,Carrigaline,Cork
Commeen,589.0,Kerrycurrihy,Carrigaline,Kinsale
Coolmore,558.0,Kerrycurrihy,Carrigaline,Cork
Coolsallagh,273.0,Kerrycurrihy,Liscleary,Kinsale
Crosshaven,189.0,Kerrycurrihy,Templebreedy,Kinsale
Crosshavenhill,274.0,Kerrycurrihy,Templebreedy,Kinsale
Curraghbinny,586.0,Kerrycurrihy,Carrigaline,Cork
Fahalea,285.0,Kerrycurrihy,Carrigaline,Kinsale
Fountainstown North,80.0,Kerrycurrihy,Kilpatrick,Kinsale
Frenchfurze,490.0,Kerrycurrihy,Carrigaline,Kinsale
Gortnanoon,203.0,Kerrycurrihy,Templebreedy,Kinsale
Hilltown,140.0,Kerrycurrihy,Carrigaline,Cork
Hoddersfield,535.0,Kerrycurrihy,Templebreedy,Kinsale
Inchigeelagh,13.0,Kerrycurrihy,Templebreedy,Kinsale
Kilcolta,140.0,Kerrycurrihy,Templebreedy,Kinsale
Killanully,456.0,Kerrycurrihy,Killanully,Cork
Killeen,37.0,Kerrycurrihy,Kilpatrick,Kinsale
Kilmichael East,78.0,Kerrycurrihy,Templebreedy,Kinsale
Kilmichael West,175.0,Kerrycurrihy,Templebreedy,Kinsale
Kilmoney,1430.0,Kerrycurrihy,Kilmoney,Kinsale
Kilnaglery,577.0,Kerrycurrihy,Carrigaline,Kinsale
Kilnahone,229.0,Kerrycurrihy,Killanully,Cork
Kingsland,117.0,Kerrycurrihy,Ballinaboy,Cork
Knockmore,189.0,Kerrycurrihy,Carrigaline,Cork
Knocknagore,327.0,Kerrycurrihy,Templebreedy,Kinsale
Lackaroe,64.0,Kerrycurrihy,Monkstown,Cork
Liskillea,444.0,Kerrycurrihy,Ballinaboy,Cork
Loughbeg,143.0,Kerrycurrihy,Barnahely,Cork
Maulbaun,143.0,Kerrycurrihy,Monkstown,Cork
Meadstown,982.0,Kerrycurrihy,Liscleary,Kinsale
Moanroe,240.0,Kerrycurrihy,Kilpatrick,Kinsale
Monkstown (Castle Farm),256.0,Kerrycurrihy,Monkstown,Cork
Monkstown,206.0,Kerrycurrihy,Monkstown,Cork
Myrtleville,79.0,Kerrycurrihy,Templebreedy,Kinsale
Park,43.0,Kerrycurrihy,Monkstown,Cork
Parkgarriff,255.0,Kerrycurrihy,Monkstown,Cork
Pembroke,243.0,Kerrycurrihy,Marmullane,Cork
Rafeen,550.0,Kerrycurrihy,Liscleary,Cork
Raheenering,127.0,Kerrycurrihy,Carrigaline,Cork
Raheens,175.0,Kerrycurrihy,Carrigaline,Cork
Raheens East,34.0,Kerrycurrihy,Carrigaline,Cork
Rathanker,320.0,Kerrycurrihy,Monkstown,Cork
Rearour and Barrettshill,608.0,Kerrycurrihy,Ballinaboy,Cork
Ringaskiddy,246.0,Kerrycurrihy,Barnahely,Cork
Shanagraigue,465.0,Kerrycurrihy,Liscleary,Kinsale
Shanbally,353.0,Kerrycurrihy,Carrigaline,Cork
Shannonpark,201.0,Kerrycurrihy,Carrigaline,Cork
Tullig Beg,150.0,Kerrycurrihy,Ballinaboy,Cork
