No,Date,Round,Circuit,Pole Position,Fastest Lap,Race Winner,Report
1.0,23 February,Qatar,Losail,Fabien Foret,Fabien Foret,Broc Parkes,Report
2.0,2 March,Australia,Phillip Island,Andrew Pitt,Robbin Harms,Andrew Pitt,Report
3.0,6 April,Spain,Valencia,Andrew Pitt,Broc Parkes,Joan Lascorz,Report
4.0,27 April,Netherlands,Assen,Broc Parkes,Gianluca Vizziello,Andrew Pitt,Report
5.0,11 May,Italy,Monza,Broc Parkes,Fabien Foret,Fabien Foret,Report
6.0,15 June,Germany,Nürburgring,Broc Parkes,Broc Parkes,Andrew Pitt,Report
7.0,29 June,San Marino,Misano,Broc Parkes,Broc Parkes,Andrew Pitt,Report
8.0,20 July,Czech Republic,Brno,Broc Parkes,Andrew Pitt,Jonathan Rea,Report
9.0,3 August,Great Britain,Brands Hatch,Matthieu Lagrive,Andrew Pitt,Jonathan Rea,Report
10.0,7 September,Europe,Donington Park,Matthieu Lagrive,Josh Brookes,Josh Brookes,Report
11.0,21 September,Italy,Vallelunga,Broc Parkes,Broc Parkes,Jonathan Rea,Report
12.0,5 October,France,Magny-Cours,Broc Parkes,Broc Parkes,Andrew Pitt,Report
