Week,Date,Opponent,Result,Attendance
1.0,"September 17, 1961",at Green Bay Packers,W 17-13,32150.0
2.0,"September 24, 1961",at Baltimore Colts,W 16-15,49825.0
3.0,"October 1, 1961",San Francisco 49ers,L 49-0,38065.0
4.0,"October 8, 1961",Chicago Bears,L 31-17,53854.0
5.0,"October 15, 1961",Los Angeles Rams,W 14-13,53295.0
6.0,"October 22, 1961",Baltimore Colts,L 17-14,48447.0
7.0,"October 29, 1961",at Los Angeles Rams,W 28-10,54019.0
8.0,"November 5, 1961",at San Francisco 49ers,T 20-20,46267.0
9.0,"November 12, 1961",at St. Louis Cardinals,W 45-14,54123.0
10.0,"November 19, 1961",at Minnesota Vikings,W 37-10,57808.0
11.0,"November 23, 1961",Green Bay Packers,L 17-9,43272.0
12.0,"December 3, 1961",at Chicago Bears,W 16-15,51017.0
13.0,"December 10, 1961",Minnesota Vikings,W 13-7,42655.0
14.0,"December 17, 1961",Philadelphia Eagles,L 27-24,44231.0
