# 100,Season,Playing For,Against,Score
1.0,1980,Gloucestershire,Hampshire,116
2.0,1980,Gloucestershire,Warwickshire,101
3.0,1985/86,Orange Free State,Natal,101 not out (n.o.)
4.0,1986,Nottinghamshire,Warwickshire,116
5.0,1986,Nottinghamshire,Yorkshire,122
6.0,1986,Nottinghamshire,Gloucestershire,105
7.0,1986,Nottinghamshire,Sussex,116
8.0,1986,Nottinghamshire,Essex,120
9.0,1986,Nottinghamshire,Northamptonshire,112
10.0,1986/87,England,Australia,162
11.0,1986/87,England,Australia,116
12.0,1986/87,England,Australia,112
13.0,1987/88,England,Pakistan,116
14.0,1987/88,England,Australia,139
15.0,1987/88,England,New Zealand,114
16.0,1989,Nottinghamshire,Glamorgan,132
17.0,1989,Nottinghamshire,Glamorgan,113
18.0,1989,Nottinghamshire,Middlesex,144
19.0,1990,Nottinghamshire,Derbyshire,180
20.0,1990,Nottinghamshire,Warwickshire,119
21.0,1990,Nottinghamshire,Kent,227 n.o.
22.0,1990,Nottinghamshire,Leicestershire,112 n.o.
23.0,1990,Nottinghamshire,Yorkshire,126
24.0,1990,Nottinghamshire,Lancashire,122
25.0,1990,Nottinghamshire,Middlesex,140
26.0,1990,Nottinghamshire,Worcestershire,156
27.0,1990,Nottinghamshire,Lancashire,122
28.0,1991,Nottinghamshire,Kent,166
29.0,1991,Nottinghamshire,Surrey,137 n.o.
30.0,1991,Nottinghamshire,Worcestershire,162
31.0,1991,Nottinghamshire,Sussex,158
32.0,1991,Nottinghamshire,Somerset,131
33.0,1992,Nottinghamshire,Warwickshire,104
34.0,1992,Nottinghamshire,Derbyshire,117
35.0,1992,Nottinghamshire,Northamptonshire,159 n.o.
36.0,1992,Nottinghamshire,Yorkshire,120
37.0,1992,Nottinghamshire,Leicestershire,122
38.0,1993,Gloucestershire,Hampshire,131
39.0,1993,Gloucestershire,Derbyshire,120
40.0,1994,Gloucestershire,Sussex,128
