Player,Rec.,Yards,Avg.,Long
DeSean Jackson,62.0,912.0,14.7,60.0
Hank Baskett,33.0,440.0,13.3,90.0
Greg Lewis,19.0,247.0,13.0,52.0
Brent Celek,27.0,318.0,11.8,44.0
Correll Buckhalter,26.0,324.0,12.5,59.0
Reggie Brown,18.0,252.0,14.0,40.0
Brian Westbrook,54.0,402.0,7.4,47.0
Jason Avant,32.0,377.0,11.8,31.0
Kevin Curtis,33.0,390.0,11.8,32.0
L.J. Smith,12.0,106.0,8.8,21.0
Tony Hunt,6.0,42.0,7.0,18.0
Lorenzo Booker,5.0,10.0,2.0,8.0
Matt Schobel,2.0,10.0,5.0,5.0
Dan Klecko,1.0,2.0,2.0,2.0
Todd Herremans,1.0,1.0,1.0,1.0
