Rank,Group,Name,Nationality,Result
1.0,A,Piotr Małachowski,Poland,65.94
2.0,A,Virgilijus Alekna,Lithuania,65.84
3.0,B,Rutger Smith,Netherlands,65.65
4.0,B,Frank Casañas,Spain,64.99
5.0,B,Gerd Kanter,Estonia,64.66
6.0,A,Bogdan Pishchalnikov,Russia,64.6
7.0,A,Mario Pestano,Spain,64.42
8.0,A,Robert Harting,Germany,64.19
9.0,B,Rashid Shafi Al-Dosari,Qatar,63.83
10.0,A,Aleksander Tammert,Estonia,63.1
11.0,A,Róbert Fazekas,Hungary,62.64
12.0,B,Frantz Kruger,Finland,62.48
13.0,A,Gabor Mate,Hungary,62.44
14.0,B,Märt Israel,Estonia,61.98
15.0,A,Dzmitry Sivakou,Belarus,61.75
16.0,A,Michael Robertson,United States,61.64
17.0,B,Ehsan Haddadi,Iran,61.34
18.0,B,Gerhard Mayer,Austria,61.32
19.0,A,Casey Malone,United States,61.26
20.0,B,Ercüment Olgundeniz,Turkey,60.83
21.0,B,Zoltán Kővágó,Hungary,60.79
22.0,B,Vikas Gowda,India,60.69
23.0,A,Omar Ahmed El Ghazaly,Egypt,60.24
24.0,A,Oleksiy Semenov,Ukraine,60.18
25.0,B,Ian Waltz,United States,60.02
26.0,A,Abbas Samimi,Iran,59.92
27.0,A,Jorge Fernández,Cuba,59.6
28.0,A,Jan Marcell,Czech Republic,59.52
29.0,B,Martin Marić,Croatia,59.25
30.0,B,Jorge Balliengo,Argentina,58.82
31.0,A,Benn Harradine,Australia,58.55
32.0,B,Niklas Arrhenius,Sweden,58.22
33.0,B,Hannes Kirchler,Italy,56.44
34.0,A,Sultan Mubarak Al-Dawoodi,Saudi Arabia,56.29
35.0,A,Vadim Hranovschi,Moldova,56.19
36.0,B,Haidar Nasser Shaheed,Iraq,54.19
37.0,B,Eric Matthias,British Virgin Islands,53.11
