Team,Stadium,Capacity,Highest,Lowest,Average
Dundee,Dens Park,11856.0,6192.0,3146.0,4264.0
Dunfermline Athletic,East End Park,11998.0,4946.0,2444.0,3754.0
St. Johnstone,McDiarmid Park,10673.0,6279.0,1686.0,2969.0
Greenock Morton,Cappielow,5741.0,3818.0,2228.0,2727.0
Partick Thistle,Firhill Stadium,10887.0,4914.0,1149.0,2591.0
Hamilton Academical,New Douglas Park,5396.0,5078.0,1410.0,2468.0
Queen of the South,Palmerston Park,6412.0,3005.0,1484.0,1965.0
Livingston,Almondvale Stadium,10016.0,2865.0,1125.0,1726.0
Clyde,Broadwood Stadium,8006.0,1979.0,910.0,1298.0
Stirling Albion,Forthbank Stadium,3808.0,2215.0,431.0,1166.0
