Year,Men's singles,Women's singles,Men's doubles,Women's doubles,Mixed doubles
1958.0,Janez Primožič,Lada Smole,Roman Veras Janez Pohar,no competition,Janez Pohar Vida Leskovar
1959.0,Oki Drinovec,Mariča Amf,Oki Drinovec Tomaž Pavčič,no competition,Tomaž Pavčič Mariča Amf
1960.0,Oki Drinovec,Mariča Amf,Oki Drinovec Tomaž Pavčič,Vida Leskovar Meta Bogel,Oki Drinovec Mariča Amf
1961.0,Jani Drinovec,Mariča Amf,Danče Pohar Jani Drinovec,Vida Pohar Meta Bogel,Tomaž Pavčič Meta Bogel
1962.0,Jani Drinovec,Mariča Amf,Danče Pohar Jani Drinovec,Mariča Amf Meta Bogel,Danče Pohar Mariča Amf
1963.0,Jani Drinovec,Meta Bogel,Danče Pohar Jani Drinovec,Mariča Amf Meta Bogel,Danče Pohar Mariča Amf
1964.0,Tomaž Pavčič,Meta Bogel,Danče Pohar Tomaž Pavčič,Mariča Amf Meta Bogel,Danče Pohar Mariča Amf
1965.0,Danče Pohar,Breda Križman,Danče Pohar Tomaž Pavčič,Mariča Amf Meta Bogel,Danče Pohar Mariča Amf
1966.0,Danče Pohar,Marta Amf,Jani Drinovec Janez Jereb,Mariča Amf Meta Bogel,Danče Pohar Mariča Amf
1967.0,Danče Pohar,Lučka Križman,Danče Pohar Tomaž Pavčič,Lučka Križman Breda Križman,Mitja Žorga Marta Amf
1968.0,Danče Pohar,Lučka Križman,Mitja Žorga Slavko Županič,Lučka Križman Breda Križman,Danče Pohar Mariča Amf
1969.0,Danče Pohar,Lučka Križman,Danče Pohar Tomaž Pavčič,Lučka Križman Breda Križman,Slavko Županič Lučka Križman
1970.0,Gregor Berden,Lučka Križman,Gregor Berden Slavko Županič,Lučka Križman Breda Križman,Gregor Berden Vita Bohinc
1971.0,Gregor Berden,Marta Amf,Gregor Berden Slavko Županič,Lučka Križman Breda Križman,Gregor Berden Marta Amf
1972.0,Stane Koprivšek,Vita Bohinc,Gregor Berden Slavko Županič,Marta Amf Vita Bohinc,Gregor Berden Marta Amf
