Game,January,Opponent,Score,Record
18.0,3.0,Toronto Maple Leafs,4 - 2,11-4-3
19.0,8.0,New York Americans,2 - 2 OT,11-4-4
20.0,10.0,@ Toronto Maple Leafs,3 - 2,11-5-4
21.0,12.0,Boston Bruins,3 - 1,12-5-4
22.0,15.0,@ Chicago Black Hawks,5 - 0,13-5-4
23.0,17.0,@ Detroit Red Wings,2 - 0,13-6-4
24.0,19.0,Montreal Canadiens,2 - 1,14-6-4
25.0,22.0,Montreal Maroons,5 - 0,14-7-4
26.0,24.0,@ New York Americans,3 - 2,15-7-4
27.0,26.0,Chicago Black Hawks,3 - 1,15-8-4
28.0,28.0,@ Ottawa Senators,9 - 2,16-8-4
29.0,31.0,Detroit Red Wings,2 - 1,16-9-4
