District,Senator,Party,Residence,First elected,Term Limited
1.0,Steve Buehrer,Republican,Delta,2006,2014.0
2.0,Mark Wagoner,Republican,Toledo,2008 (Appt.),2016.0
3.0,David Goodman,Republican,New Albany,2001 (Appt.),2010.0
4.0,Gary Cates,Republican,West Chester,2004,2012.0
5.0,Tom Roberts,Democratic,Dayton,2002 (Appt.),2010.0
6.0,Peggy Lehner,Republican,Kettering,2008 (Appt.),2016.0
7.0,Robert Schuler,Republican,Cincinnati,2002,2010.0
8.0,Bill Seitz,Republican,Cincinnati,2007 (Appt.),2016.0
9.0,Eric Kearney,Democratic,Cincinnati,2005 (Appt.),2014.0
10.0,Steve Austria,Republican,Beavercreek,2000,2008.0
11.0,Teresa Fedor,Democratic,Toledo,2002,2010.0
12.0,Keith Faber,Republican,Celina,2007 (Appt.),2016.0
13.0,Sue Morano,Democratic,Lorain,2006,2014.0
14.0,Tom Niehaus,Republican,New Richmond,2004,2012.0
15.0,Ray Miller,Democratic,Columbus,2002,2010.0
16.0,Steve Stivers,Republican,Columbus,2003 (Appt.),2012.0
17.0,John Carey,Republican,Wellston,2002,2010.0
18.0,Timothy Grendell,Republican,Chesterland,2004,2012.0
19.0,Bill Harris,Republican,Ashland,2000 (Appt.),2010.0
20.0,Joy Padgett,Republican,Coshocton,2004,2012.0
21.0,Shirley Smith,Democratic,Cleveland,2006,2014.0
22.0,Ron Amstutz,Republican,Wooster,2000,2008.0
23.0,Dale Miller,Democratic,Cleveland,2006 (Appt.),2014.0
24.0,Tom Patton,Republican,Strongsville,2008 (Appt.),2016.0
25.0,Nina Turner,Democratic,Cleveland,2008 (Appt.),2018.0
26.0,Larry Mumper,Republican,Loudonville,1997 (Appt.),2008.0
27.0,Kevin Coughlin,Republican,Cuyahoga Falls,2001 (Appt.),2010.0
28.0,Tom Sawyer,Democratic,Akron,2007 (Appt.),2016.0
29.0,Kirk Schuring,Republican,Canton,2002,2010.0
30.0,Jason Wilson,Democratic,Columbiana,2007 (Appt.),2016.0
31.0,Tim Schaffer,Republican,Lancaster,2006,2014.0
32.0,Capri Cafaro,Democratic,Hubbard,2007 (Appt.),2016.0
