Rider,Bike,Laps,Time,Grid
James Toseland,Honda CBR1000RR,22.0,37:02.097,1.0
Noriyuki Haga,Yamaha YZF-R1,22.0,+0.663,15.0
Rubén Xaus,Ducati 999 F06,22.0,+3.698,5.0
Troy Bayliss,Ducati 999 F07,22.0,+7.134,3.0
Lorenzo Lanzi,Ducati 999 F07,22.0,+9.312,2.0
Max Biaggi,Suzuki GSX-R1000 K7,22.0,+9.534,4.0
Yukio Kagayama,Suzuki GSX-R1000 K7,22.0,+18.286,8.0
Fonsi Nieto,Kawasaki ZX-10R,22.0,+18.403,10.0
Roberto Rolfo,Honda CBR1000RR,22.0,+19.873,11.0
Max Neukirchner,Suzuki GSX-R1000 K6,22.0,+22.914,7.0
Jakub Smrž,Ducati 999 F05,22.0,+29.602,12.0
Michel Fabrizio,Honda CBR1000RR,22.0,+40.961,16.0
Shinichi Nakatomi,Yamaha YZF-R1,22.0,+41.008,17.0
Dean Ellison,Ducati 999RS,22.0,+1:12.714,19.0
Marek Svoboda,Yamaha YZF-R1,20.0,+2 Laps,21.0
Régis Laconi,Kawasaki ZX-10R,20.0,+2 Laps,13.0
Troy Corser,Yamaha YZF-R1,20.0,Retirement,6.0
Karl Muggeridge,Honda CBR1000RR,10.0,Retirement,9.0
Josh Brookes,Honda CBR1000RR,8.0,Retirement,14.0
Luca Morelli,Ducati 999RS,0.0,Retirement,20.0
Christian Zaiser,MV Agusta F4 312 R,0.0,Retirement,18.0
