Position,Number,Name,Height,Weight,Class,Hometown,Games↑
LE,99.0,Jeremy Jarmon,"6'3""",277lb.,Jr.,"Collierville, Tennessee",6.0
LT,98.0,Myron Pryor,"6'1""",310lb.,Sr.,"Louisville, Kentucky",6.0
RT,91.0,Corey Peters,"6'3""",290lb.,Jr.,"Louisville, Kentucky",6.0
RE,95.0,Ventrell Jenkins,"6'2""",285lb.,Sr.,"Columbia, South Carolina",6.0
OLB,56.0,Braxton Kelley,"6'0""",230lb.,Sr.,"LaGrange, Georgia",6.0
MLB,4.0,Micah Johnson,"6'2""",250lb.,Jr.,"Fort Campbell, Kentucky",4.0
SLB,51.0,Johnny Williams,"6'3""",244lb.,Sr.,"Jacksonville, Florida",6.0
RCB,32.0,Trevard Lindley,"6'0""",175lb.,Jr.,"Hiram, Georgia",6.0
LCB,7.0,David Jones,"5'10""",180lb.,Sr.,"Red Jacket, West Virginia",6.0
FS,10.0,Matt Lentz,"6'3""",203lb.,Rs-Fr.,"Simpsonville, South Carolina",2.0
