Club,City,Stadium,Capacity,2011–12 season
AlbinoLeffe,Albino and Leffe (playingin Bergamo ),Atleti Azzurri d'Italia,26542.0,22nd in Serie B
Carpi,Carpi,Sandro Cabassi,4164.0,3rd in Lega Pro Prima Divisione A
Como,Como,Giuseppe Sinigaglia,13602.0,13th in Lega Pro Prima Divisione A
Cremonese,Cremona,Giovanni Zini,20641.0,5th in Lega Pro Prima Divisione B
Cuneo,Cuneo,Fratelli Paschiero,4000.0,3rd in Lega Pro Seconda Divisione A
FeralpiSalò,Salò and Lonato del Garda (playing in Brescia ),Mario Rigamonti,27592.0,14th in Lega Pro Prima Divisione A
Lecce,Lecce,Via del Mare,33876.0,18th in Serie A
Lumezzane,Lumezzane,Nuovo Comunale,4150.0,8th in Lega Pro Prima Divisione A
Pavia,Pavia,Pietro Fortunati,4999.0,16th in Lega Pro Prima Divisione A
Portogruaro,Portogruaro,Piergiovanni Mecchia,4021.0,10th in Lega Pro Prima Divisione B
Reggiana,Reggio Emilia,Città del Tricolore,20084.0,9th in Lega Pro Prima Divisione A
SanMarino,Serravalle,Olimpico,7000.0,2nd in Lega Pro Seconda Divisione A
Südtirol,Bolzano,Druso,3500.0,7th in Lega Pro Prima Divisione B
Trapani,Trapani (playing in Erice ),Provinciale,6776.0,2nd in Lega Pro Prima Divisione B
Treviso,Treviso,Omobono Tenni,10000.0,1st in Lega Pro Seconda Divisione A
Tritium,Trezzo sull'Adda (playing in Monza ),Stadio Brianteo,18568.0,12th in Lega Pro Prima Divisione A
Virtus Entella,Chiavari,Comunale,2500.0,5th in Lega Pro Seconda Divisione A
