Year,Venue,Champion,Country,Score
1993.0,Woburn Golf and Country Club,Karen Lunn,Australia,275
1992.0,Woburn Golf and Country Club,Patty Sheehan,United States,207*
1991.0,Woburn Golf and Country Club,Penny Grice-Whittaker,England,284
1990.0,Woburn Golf and Country Club,Helen Alfredsson,Sweden,288
1989.0,Ferndown Golf Club,Jane Geddes,United States,274
1988.0,Lindrick Golf Club,Corinne Dibnah,Australia,295
1987.0,St Mellion Golf and Country Club,Alison Nicholas,England,296
1986.0,Royal Birkdale Golf Club,Laura Davies,England,283
1985.0,Moor Park Golf Club,Betsy King,United States,300
1984.0,Woburn Golf and Country Club,Ayako Okamoto,Japan,289
1983.0,No tournament,No tournament,No tournament,No tournament
1982.0,Royal Birkdale Golf Club,Marta Figueras-Dotti (a),Spain,296
1981.0,Northumberland Golf Club,Debbie Massey,United States,295
1980.0,Wentworth Club,Debbie Massey,United States,294
1979.0,Southport and Ainsdale Golf Club,Alison Sheard,South Africa,301
1978.0,Foxhills Golf & Country Club,Janet Melville (a),England,310
1977.0,Lindrick Golf Club,Vivien Saunders,England,306
1976.0,Fulford Golf Club,Jenny Lee Smith (a),England,299
