Peak,Height (m),Prom. (m),Class,Parent
Skiddaw,931.0,709.0,P600,Helvellyn
Blencathra,868.0,461.0,Marilyn,Skiddaw
Skiddaw Little Man,865.0,61.0,Hewitt,Skiddaw
Gategill Fell Top,851.0,17.0,Nuttall,Blencathra
Atkinson Pike,845.0,16.0,Nuttall,Blencathra
Carl Side,746.0,30.0,Hewitt,Skiddaw
Long Side,734.0,40.0,Hewitt,Skiddaw
Lonscale Fell,715.0,50.0,Hewitt,Skiddaw Little Man
Knott,710.0,242.0,Marilyn,Skiddaw
Bowscale Fell,702.0,87.0,Hewitt,Blencathra
Great Calva,690.0,142.0,Hewitt,Knott
Bannerdale Crags,683.0,37.0,Hewitt,Bowscale Fell
Sale How,666.0,18.0,Nuttall,Skiddaw
Carrock Fell,663.0,91.0,Hewitt,Knott
High Pike,658.0,69.0,Hewitt,Knott
Little Calva,642.0,15.0,Nuttall,Great Calva
Hare Stones,627.0,16.0,Nuttall,High Pike
Great Lingy Hill,616.0,18.0,Nuttall,High Pike
