Date,Tournament,Location,Purse( $ ),Winner,Score,1st Prize( $ )
Jan 7,MONY Senior Tournament of Champions,California,250000.0,George Archer (2),283 (-5),37500.0
Feb 4,Royal Caribbean Classic,Florida,400000.0,Lee Trevino (1),206 (-7),60000.0
Feb 11,GTE Suncoast Classic,Florida,450000.0,Mike Hill (1),207 (-9),67500.0
Feb 18,Aetna Challenge,Florida,400000.0,Lee Trevino (2),200 (-16),60000.0
Mar 4,Vintage Chrysler Invitational,California,400000.0,Lee Trevino (3),205 (-11),60000.0
Mar 18,Vantage at The Dominion,Texas,300000.0,Jim Dent (3),205 (-11),45000.0
Apr 1,The Tradition at Desert Mountain,Arizona,800000.0,Jack Nicklaus (1),206 (-10),120000.0
Apr 15,PGA Seniors' Championship,Florida,450000.0,Gary Player (15),281 (-7),75000.0
Apr 29,Murata Reunion Pro-Am,Texas,400000.0,Frank Beard (1),207 (-9),60000.0
May 6,Las Vegas Senior Classic,Nevada,450000.0,Chi Chi Rodriguez (14),204 (-12),67500.0
May 13,Southwestern Bell Classic,Oklahoma,450000.0,Jimmy Powell (1),208 (-8),67500.0
May 20,Doug Sanders Kingwood Celebrity Classic,Texas,300000.0,Lee Trevino (4),203 (-13),45000.0
May 27,Bell Atlantic Classic,Pennsylvania,500000.0,Dale Douglass (6),206 (-4),75000.0
Jun 3,NYNEX Commemorative,New York,350000.0,Lee Trevino (5),199 (-11),52500.0
Jun 10,Mazda Senior Tournament Players Championship,Michigan,1000000.0,Jack Nicklaus (2),261 (-27),150000.0
Jun 17,MONY Syracuse Senior Classic,New York,400000.0,Jim Dent (4),199 (-17),60000.0
Jun 24,Digital Seniors Classic,Massachusetts,350000.0,Bob Charles (14),203 (-13),52500.0
Jul 1,U.S. Senior Open,New Jersey,450000.0,Lee Trevino (6),275 (-13),90000.0
Jul 8,Northville Long Island Classic,New York,450000.0,George Archer (3),208 (-8),67500.0
Jul 15,Kroger Senior Classic,Ohio,600000.0,Jim Dent (5),133 (-9),90000.0
Jul 22,Ameritech Senior Open,Michigan,500000.0,Chi Chi Rodriguez (15),203 (-13),75000.0
Jul 29,Newport Cup,Rhode Island,300000.0,Al Kelley (1),134 (-10),45000.0
Aug 5,PaineWebber Invitational,North Carolina,450000.0,Bruce Crampton (16),205 (-11),67500.0
Aug 12,Sunwest Bank Charley Pride Senior Golf Classic,New Mexico,350000.0,Chi Chi Rodriguez (16),205 (-11),52500.0
Aug 19,Showdown Classic,Utah,350000.0,Rives McBee (2),202 (-14),52500.0
Aug 26,GTE Northwest Classic,Washington,350000.0,George Archer (4),205 (-11),52500.0
Sep 2,GTE North Classic,Indiana,450000.0,Mike Hill (2),201 (-15),67500.0
Sep 9,Vantage Bank One Classic,Kentucky,300000.0,Rives McBee (3),201 (-15),45000.0
Sep 16,Greater Grand Rapids Open,Michigan,300000.0,Don Massengale (1),134 (-8),45000.0
Sep 23,Crestar Classic,Virginia,350000.0,Jim Dent (6),202 (-14),52500.0
Sep 30,Fairfield Barnett Space Coast Classic,Florida,300000.0,Mike Hill (3),200 (-16),45000.0
Oct 7,Vantage Championship,North Carolina,1500000.0,Charles Coody (2),202 (-14),202500.0
Oct 14,Gatlin Brothers Southwest Senior Classic,Texas,300000.0,Bruce Crampton (17),204 (-12),45000.0
Oct 21,Transamerica Senior Golf Championship,California,500000.0,Lee Trevino (7),205 (-11),75000.0
Oct 28,Rancho Murieta Senior Gold Rush,California,400000.0,George Archer (5),204 (-12),60000.0
Nov 4,Security Pacific Senior Classic,California,500000.0,Mike Hill (4),201 (-12),75000.0
Dec 9,GTE Kaanapali Classic,Hawaii,450000.0,Bob Charles (15),206 (-4),67500.0
