Year,English title,Original title,Country,Director
1981.0,The Tin Drum,Die Blechtrommel,West Germany,Volker Schlöndorff
1982.0,Pixote,Pixote: A lei do mais fraco,Brazil,Hector Babenco
1983.0,Mad Max 2: The Road Warrior,Mad Max 2: The Road Warrior,Australia,George Miller
1984.0,Fanny and Alexander,Fanny och Alexander,Sweden,Ingmar Bergman
1984.0,The Fourth Man,De vierde man,Netherlands,Paul Verhoeven
1985.0,Ran,Ran,Japan/France,Akira Kurosawa
1985.0,The Official Story,La historia oficial,Argentina,Luis Puenzo
1986.0,Vagabond,Sans toit ni loi,France/UK,Agnès Varda
1987.0,"Goodbye, Children","Au revoir, les enfants",France/West Germany,Louis Malle
1988.0,Wings of Desire,Der Himmel über Berlin,France/West Germany,Wim Wenders
1989.0,"Distant Voices, Still Lives","Distant Voices, Still Lives",UK,Terence Davies
1989.0,Story of Women,Une affaire de femmes,France,Claude Chabrol
