Year,Chassis,Engine,Start,Finish,Team
1984.0,March 84C,Ford Cosworth DFX,7,2,Bignotti-Cotter
1985.0,March 85C,Ford Cosworth DFX,16,3,Team Cotter
1986.0,March 86C,Ford Cosworth DFX,8,4,Team Cotter
1987.0,March 87C,Ford Cosworth DFX,5,2,Granatelli Racing
1988.0,Lola T88/00,Ford Cosworth DFX,12,32,Granatelli Racing
1990.0,March 90CA,Alfa Romeo Indy V8,28,23,Patrick Racing
1991.0,Lola T91/00,Alfa Romeo,28,30,Patrick Racing
1992.0,Lola T92/00,Buick V6 (t/c),1,33,King Racing
1993.0,Lola T93/00,Chevrolet 265C,10,28,King Racing
1994.0,Lola T92/00,Buick V6 (t/c),30,33,Pagan Racing
1995.0,Reynard 94I,Mercedes-Benz IC108B,13,12,Pagan Racing
1996.0,Reynard 95I,Ford XB,6,5,Pagan Racing
1997.0,Dallara,Infiniti,19,27,Pagan Racing
1998.0,Dallara,Oldsmobile,9,22,Pagan Racing
1999.0,G-Force,Infiniti,25,25,Cobb Racing
2000.0,Dallara,Oldsmobile,DNQ,DNQ,A.J. Foyt Enterprises
2001.0,Dallara,Oldsmobile,DNQ,DNQ,Dick Simon Racing
