Name,Date of Birth,Height,Weight,Spike,Block
Marcos Milinkovic,22.12.1971,205.0,100.0,355.0,338.0
Jorge Elgueta,21.11.1969,196.0,95.0,353.0,333.0
Gustavo Porporatto,07.05.1981,199.0,91.0,353.0,323.0
Diego Gutiérrez,27.05.1976,186.0,85.0,330.0,315.0
Hernán Ferraro,13.05.1968,170.0,74.0,300.0,300.0
Alejandro Spajic,07.05.1976,204.0,95.0,360.0,340.0
Jerónimo Bidegain,16.01.1977,200.0,93.0,352.0,335.0
Pablo Peralta,09.12.1979,204.0,100.0,350.0,330.0
Santiago Darraidou,24.11.1980,194.0,95.0,345.0,335.0
Leonardo Patti,06.07.1978,188.0,88.0,340.0,320.0
Pablo Meana,10.06.1975,187.0,86.0,325.0,315.0
Gastón Giani,26.04.1979,194.0,86.0,345.0,330.0
