Rank,Scorer,Club,Goals,Assists,Points
1.0,Gabe Jones,Austin Lone Stars,20.0,8.0,48.0
2.0,Holger Schneidt,Birmingham Grasshoppers,17.0,9.0,43.0
3.0,Jeff Dresser,Grand Rapids Explosion,20.0,2.0,42.0
4.0,Brian Adams,Sioux City Breeze,18.0,4.0,40.0
4.0,Eddie Enders,Cocoa Expos,15.0,8.0,38.0
6.0,Toni Siikala,Nashville Metros,15.0,4.0,34.0
7.0,Richard Sharpe,Cocoa Expos,14.0,2.0,30.0
7.0,Adrian Gonzalez,North Bay Breakers,13.0,0.0,26.0
8.0,Aaron Leventhal,Des Moines Menace,10.0,4.0,24.0
9.0,Robert Ukrop,Richmond Kickers,10.0,4.0,24.0
10.0,Sean Gibson,Birmingham Grasshoppers,11.0,2.0,24.0
