Year,Champion,Runner-up,Top goalscorer,Club,Goals
1996.0,Inter/Ulbra ( RS ),Vasco /DalPonte/Unimed ( RS ),Ortiz,Inter/Ulbra,25.0
1997.0,Atlético Mineiro/Pax de Minas ( MG ),Banespa /Phercani,"Vander Carioca , Lenísio","Atlético Mineiro/Pax de Minas , GM/Chevrolet",36.0
1998.0,Ulbra ( RS ),ACBF (Carlos Barbosa) ( RS ),Índio,Ulbra,25.0
1999.0,Atlético Mineiro/Pax de Minas ( MG ),Rio de Janeiro/Miécimo ( RJ ),Manoel Tobias,Atlético Mineiro/Pax de Minas,52.0
2000.0,Vasco da Gama ( RJ ),Atlético Mineiro ( MG ),Lenísio,Atlético Mineiro,50.0
2001.0,ACBF (Carlos Barbosa) ( RS ),Ulbra ( RS ),Lenísio,Ulbra,25.0
2002.0,Ulbra ( RS ),W@ytv/Minas ( MG ),Lenísio,Ulbra,31.0
2003.0,Ulbra ( RS ),ACBF (Carlos Barbosa) ( RS ),Pablo,ACBF (Carlos Barbosa),25.0
2004.0,ACBF (Carlos Barbosa) ( RS ),Ulbra ( RS ),Pablo,ACBF (Carlos Barbosa),27.0
2005.0,Malwee/Jaraguá ( SC ),Atlântico ( RS ),Falcão,Malwee/Jaraguá,25.0
2006.0,ACBF (Carlos Barbosa) ( RS ),Malwee/Jaraguá ( SC ),Marinho,Intelli/Topper,25.0
2007.0,Malwee/Jaraguá ( SC ),Joinville /Krona/Dalponte ( SC ),Willian,Malwee/Jaraguá,31.0
2008.0,Malwee Futsal ( SC ),Ulbra/Suzano ( RS ),Falcão,Malwee Futsal,32.0
2009.0,ACBF (Carlos Barbosa) ( RS ),Malwee Futsal ( SC ),"Falcão , Lenísio",Malwee Futsal,32.0
2010.0,Malwee Futsal ( SC ),Marechal Rondon ( SC ),Falcão,Malwee Futsal,39.0
2011.0,Santos/Cortiana ( SP ),ACBF (Carlos Barbosa) ( RS ),Falcão,Santos,32.0
2012.0,ADC Intelli/ Orlândia ( SP ),Joinville /Krona/Dalponte ( SC ),Gustavo,ACBF (Carlos Barbosa),24.0
