Season,Tier,Division,Pos.,Postseason,Cup Competitions
1998–99,3.0,Liga EBA,8.0,–,–
1999–00,2.0,LEB,16.0,–,–
2000–01,2.0,LEB,13.0,Relegation playoffs,–
2001–02,2.0,LEB,13.0,Relegation playoffs,–
2002–03,2.0,LEB,13.0,Relegated,–
2003–04,3.0,LEB 2,4.0,Semifinalist,Copa LEB Plata runner-up
2004–05,3.0,LEB 2,14.0,Relegation playoffs,–
2005–06,3.0,LEB 2,9.0,–,–
2006–07,3.0,LEB 2,1.0,Promoted,Copa LEB 2 semifinalist
2007–08,2.0,LEB Oro,8.0,Quarterfinalist,–
2008–09,2.0,LEB Oro,18.0,Relegated,–
2009–10,3.0,LEB Plata,15.0,–,–
2010–11,4.0,Liga EBA,21.0,Relegated,–
2011–12,4.0,Liga EBA,21.0,Relegated,–
2012–13,5.0,1ª División,1.0,Promoted,–
