Round,Overall,Player,Position,College
1.0,7.0,Terry Glenn,Wide receiver,Ohio State
2.0,36.0,Lawyer Milloy,Safety,Washington
3.0,86.0,Tedy Bruschi,Linebacker,Arizona
4.0,101.0,Heath Irwin,Offensive guard,Colorado
4.0,119.0,Chris Sullivan,Defensive tackle,Boston College
4.0,124.0,Kantroy Barber,Fullback,West Virginia
5.0,139.0,John Elmore,Offensive guard,Texas
5.0,149.0,Christian Peter,Defensive tackle,Nebraska
6.0,173.0,Chris Griffin,Tight end,New Mexico
6.0,195.0,Marrio Grier,Fullback,Tennessee-Chattanooga
6.0,206.0,Devin Wyman,Defensive tackle,Kentucky State
7.0,216.0,Lovett Purnell,Tight end,West Virginia
7.0,247.0,J. R. Conrad,Offensive guard,Oklahoma
