Name,Years,Gender,Area,Authority,Decile,Roll
Allenton School,1–6,Coed,Ashburton,State,8.0,343.0
Ashburton Borough School,1–8,Coed,Ashburton,State,7.0,371.0
Ashburton Christian School,1–8,Coed,Elgin,State integrated,10.0,89.0
Ashburton College,9–13,Coed,Ashburton,State,7.0,1154.0
Ashburton Intermediate,7–8,Coed,Ashburton,State,6.0,395.0
Ashburton Netherby School,1–6,Coed,Netherby,State,3.0,139.0
Carew Peel Forest School,1–6,Coed,Carew,State,10.0,70.0
Chertsey School,1–6,Coed,Chertsey,State,6.0,23.0
Dorie School,1–8,Coed,Rakaia,State,9.0,49.0
Fairton School,1–6,Coed,Ashburton,State,6.0,35.0
Hampstead School,1–6,Coed,Ashburton,State,4.0,327.0
Hinds School,1–8,Coed,Hinds,State,9.0,141.0
Lauriston School,1–6,Coed,Lauriston,State,9.0,85.0
Longbeach School,1–8,Coed,Willowby,State,9.0,147.0
Mayfield School,1–8,Coed,Mayfield,State,9.0,59.0
Methven School,1–6,Coed,Methven,State,9.0,231.0
Mount Hutt College,7–13,Coed,Methven,State,8.0,480.0
Mt Somers Springburn School,1–8,Coed,Mount Somers,State,10.0,87.0
Our Lady of Snows School,1–8,Coed,Methven,State integrated,10.0,71.0
Rakaia School,1–8,Coed,Rakaia,State,4.0,160.0
St Joseph's School,1–8,Coed,Ashburton,State integrated,8.0,229.0
Tinwald School,1–6,Coed,Tinwald,State,6.0,236.0
Wakanui School,1–8,Coed,Ashburton,State,8.0,80.0
