Rank,Name,Street Address,Height feet / m,Floors,Year
1.0,Bank of America Tower,50 North Laura Street,617 / 188,42.0,1990.0
2.0,Wells Fargo Center,1 Independent Drive,535 / 163,37.0,1974.0
3.0,EverBank Center,301 West Bay Street,447 / 136,32.0,1983.0
4.0,The Peninsula at St. Johns Center,1401 Riverplace Boulevard,437 / 133,36.0,2006.0
5.0,Riverplace Tower,1301 Riverplace Boulevard,432 / 132,28.0,1967.0
6.0,SunTrust Tower,76 South Laura Street,357 / 109,24.0,1989.0
7.0,The Strand at St. Johns Center,1401 Riverplace Boulevard,328 / 100,28.0,2006.0
8.0,Aetna Building,841 Prudential Drive,309 / 94,22.0,1954.0
9.0,Two Prudential Plaza,San Marco Boulevard,305 / 93,21.0,1985.0
10.0,One Enterprise Center,225 Water Street,299 / 91,21.0,1986.0
11.0,Blue Cross Blue Shield Building,532 Riverside Avenue,287 / 88,19.0,1971.0
12.0,BB&T Building,200 West Forsyth Street,278 / 85,18.0,1974.0
13.0,John Milton Bryan Simpson United States Courthouse,300 North Hogan Street,277 / 85,15.0,2002.0
14.0,JEA Tower,21 West Church Street,268 / 82,19.0,1963.0
15.0,JEA Office Building,233 West Duval Street,260 / 79,18.0,1955.0
16.0,CSX Transportation Building,500 Water Street,253 / 77,17.0,1960.0
17.0,Berkman Plaza I,400 East Bay Street,250 / 76,23.0,2003.0
18.0,San Marco Place,1300 Riverplace Boulevard,246 / 75,21.0,2006.0
19.0,Baptist Medical Pavilion,800 Prudential Drive,230 / 70,18.0,1986.0
20.0,Barnett National Bank Building,112 West Adams Street,223 / 68,18.0,1926.0
21.0,Hyatt Regency Jacksonville Riverfront,225 Coast Line Drive East,216 / 66,18.0,2001.0
22.0,City Hall Annex,200 East Bay Street,210 / 64,15.0,1960.0
23.0,11 East Forsyth,11 East Forsyth Street,200 / 61,17.0,1926.0
24.0,Omni Jacksonville Hotel,245 Water Street,190 / 58,16.0,1987.0
25.0,Cathedral Terrace,701 North Ocean Street,190 / 58,21.0,1974.0
26.0,Mount Carmel Garden Apartments,5846 Mount Carmel Terrace,190 / 58,17.0,1972.0
27.0,Cathedral Townhouse,501 North Ocean Street,186 / 57,18.0,1970.0
28.0,Riverside Presbyterian Apartments,1045 Oak Street,183 / 56,18.0,1973.0
29.0,550 Water Street,550 Water Street,180 / 55,14.0,1982.0
30.0,Fidelity National Financial Tower 2,601 Riverside Avenue,180 / 55,13.0,2007.0
31.0,Cathedral Towers,601 North Newman Street,177 / 54,17.0,1968.0
32.0,Tower Place Apartments,303 West Ashley Street,177 / 54,16.0,1950.0
33.0,The Carling,33 West Adams Street,171 / 52,13.0,1926.0
