Scientic name,Common name,Authority,Year,Subgenus
O. acares,redspotted stream crayfish,Fitzpatrick,1965.0,Procericambarus
O. alabamensis,Alabama crayfish,(Faxon),1884.0,Trisellescens
O. australis,cave crayfish,(Rhoades),1941.0,Orconectes
O. barrenensis,Barren River crayfish,Rhoades,1944.0,Procericambarus
O. barri,Cumberland Plateau crayfish,Buhay & Crandall,2008.0,Orconectes
O. bisectus,Crittenden crayfish,Rhoades,1944.0,Crockerinus
O. burri,Blood River crayfish,Taylor & Sabaj,1998.0,Crockerinus
O. carolinensis,North Carolina spiny crayfish,Cooper & Cooper,1995.0,Procericambarus
O. causeyi,western plains crayfish,Jester,1967.0,Gremicambarus
O. chickasawae,Chickasaw crayfish,Cooper & Hobbs,1980.0,Trisellescens
O. compressus,slender crayfish,(Faxon),1884.0,Gremicambarus
O. cooperi,Flint River crayfish,Cooper & Hobbs,1980.0,Trisellescens
O. cristavarius,spiny stream crayfish,Taylor,2000.0,Procericambarus
O. deanae,conchas crayfish,Reimer & Jester,1975.0,Hespericambarus
O. difficilis,painted crayfish,(Faxon),1898.0,Hespericambarus
O. durelli,saddle crayfish,Bouchard & Bouchard,1995.0,Procericambarus
O. erichsonianus,reticulate crayfish,(Faxon),1898.0,Crockerinus
O. etnieri,Ets crayfish,Bouchard & Bouchard,1976.0,Trisellescens
O. eupunctus,coldwater crayfish,Williams,1952.0,Crockerinus
O. forceps,surgeon crayfish,(Faxon),1884.0,Procericambarus
O. harrisonii,belted crayfish,(Faxon),1884.0,Billecambarus
O. hartfieldi,Yazoo crayfish,Fitzpatrick & Suttkus,1992.0,Hespericambarus
O. hathawayi,Teche pointed crayfish,Penn,1952.0,Hespericambarus
O. hobbsi,Pontchartrain painted crayfish,Penn,1950.0,Buannulifictus
O. holti,bimaculate crayfish,Cooper & Hobbs,1980.0,Trisellescens
O. hylas,woodland crayfish,(Faxon),1890.0,Procericambarus
O. illinoiensis,Shawnee crayfish,Brown,1956.0,Crockerinus
O. immunis,calico crayfish,(Hagen),1870.0,Trisellescens
O. incomptus,Tennessee cave crayfish,Hobbs & Barr,1972.0,Orconectes
O. indianensis,Indiana crayfish,(Hay),1896.0,Faxonius
O. inermis,ghost crayfish / unarmed crayfish,Cope,1872.0,Orconectes
O. jeffersoni,Louisville crayfish,Rhoades,1944.0,Crockerinus
O. jonesi,Sucarnoochee crayfish,Fitzpatrick,1992.0,Gremicambarus
O. juvenilis,Kentucky River crayfish,(Hagen),1870.0,Procericambarus
O. kentuckiensis,Kentucky crayfish,Rhoades,1944.0,Rhoadesius
O. lancifer,shrimp crayfish,(Hagen),1870.0,Tragulicambarus
O. leptogonopodus,Little River Creek crayfish,Hobbs,1948.0,Procericambarus
O. limosus,spinycheek crayfish,(Rafinesque),1817.0,Faxonius
O. longidigitus,longpincered crayfish,(Faxon),1898.0,Procericambarus
O. luteus,golden crayfish,(Creaser),1933.0,Procericambarus
O. macrus,Neosho midget crayfish,Williams,1952.0,Procericambarus
O. maletae,Kisatchie painted crayfish,Walls,1972.0,Hespericambarus
O. marchandi,Mammoth Spring crayfish,Hobbs,1948.0,Crockerinus
O. margorectus,Livingston crayfish,Taylor,2002.0,Crockerinus
O. medius,saddlebacked crayfish,(Faxon),1884.0,Procericambarus
O. meeki,Meek's crayfish,(Faxon),1898.0,Buannulifictus
O. menae,Mena crayfish,(Creaser),1933.0,Procericambarus
O. mirus,wonderful crayfish,(Ortmann),1931.0,Procericambarus
O. mississippiensis,Mississippi crayfish,(Faxon),1884.0,Trisellescens
O. nais,water nymph crayfish,(Faxon),1885.0,Gremicambarus
O. nana,midget crayfish,Williams,1952.0,Procericambarus
O. neglectus,ringed crayfish,(Faxon),1885.0,Procericambarus
O. obscurus,Allegheny crayfish,(Hagen),1870.0,Crockerinus
O. ozarkae,Ozark crayfish,Williams,1952.0,Procericambarus
O. packardi,cave crayfish,Rhoades,1944.0,Orconectes
O. pagei,mottled crayfish,Taylor & Sabaj,1997.0,Orconectes
O. palmeri,gray-speckled crayfish,(Faxon),1884.0,Buannulifictus
O. pardalotus,leopard crayfish,"Wetzel, Poly & Fetzner",2005.0,Procericambarus
O. pellucidus,Mammoth Cave crayfish,(Tellkampf),1844.0,Orconectes
O. perfectus,complete crayfish,Walls,1972.0,Hespericambarus
O. peruncus,Big Creek crayfish,(Creaser),1931.0,Procericambarus
O. placidus,bigclaw crayfish,(Hagen),1870.0,Procericambarus
O. propinquus,northern clearwater crayfish,(Girard),1852.0,Crockerinus
O. punctimanus,spothanded crayfish,(Creaser),1933.0,Procericambarus
O. putnami,phallic crayfish,(Faxon),1884.0,Procericambarus
O. quadruncus,St. Francis River crayfish,(Creaser),1933.0,Procericambarus
O. quinebaugensis,Quinebaug River crayfish,Matthews & Warren,2008.0,Gremicambarus
O. rafinesquei,Rough River crayfish,Rhoades,1944.0,Crockerinus
O. raymondi,Norwood River crayfish,Thoma & Stocker,2009.0,Procericambarus
O. rhoadesi,fishhook crayfish,Hobbs,1949.0,Trisellescens
O. ronaldi,Mud River crayfish,Taylor,2000.0,Procericambarus
O. rusticus,rusty crayfish,(Girard),1852.0,Procericambarus
O. sanbornii,Sanborn's crayfish,(Faxon),1884.0,Crockerinus
O. saxatilis,Kiamichi crayfish,Bouchard & Bouchard,1976.0,Procericambarus
O. sheltae,Shelta cave crayfish,Cooper & Cooper,1997.0,Orconectes
O. shoupi,Nashville crayfish,Hobbs,1948.0,Crockerinus
O. sloanii,Sloan crayfish,(Bundy),1876.0,Rhoadesius
O. spinosus,Coona River spiny crayfish,(Bundy),1877.0,Procericambarus
O. stannardi,Little Wabash crayfish,Page,1985.0,Crockerinus
O. stygocaneyi,Caney Mountain cave crayfish,Hobbs III,2001.0,Orconectes
O. taylori,crescent crayfish,Schuster,2008.0,Trisellescens
O. theaphionensis,sinkhole crayfish,"Simon, Timm & Morris",2005.0,Procericambarus
O. tricuspis,western highland crayfish,Rhoades,1944.0,Crockerinus
O. validus,powerful crayfish,(Faxon),1914.0,Trisellescens
O. virginiensis,Chowanoke crayfish,Hobbs,1951.0,Crockerinus
O. virilis,virile crayfish,(Hagen),1870.0,Gremicambarus
O. williamsi,Williams crayfish,Fitzpatrick,1966.0,Procericambarus
O. wrighti,Hardin crayfish,Hobbs,1948.0,Faxonius
