Week,Date,Opponent,Result,Attendance
1.0,"September 2, 1966",at Miami Dolphins,W 23–14,26776.0
2.0,"September 10, 1966",at Houston Oilers,L 31–0,31763.0
3.0,"September 18, 1966",Kansas City Chiefs,L 32–10,50746.0
4.0,"September 25, 1966",San Diego Chargers,L 29–20,37183.0
6.0,"October 9, 1966",Miami Dolphins,W 21–10,30787.0
7.0,"October 16, 1966",at Kansas City Chiefs,W 34–13,33057.0
8.0,"October 23, 1966",at New York Jets,W 24–21,58135.0
9.0,"October 30, 1966",at Boston Patriots,L 24–21,26941.0
10.0,"November 6, 1966",Houston Oilers,W 38–23,34102.0
11.0,"November 13, 1966",San Diego Chargers,W 41–19,26230.0
12.0,"November 20, 1966",at Denver Broncos,W 17–3,26703.0
13.0,"November 24, 1966",Buffalo Bills,L 31–10,36781.0
14.0,"December 3, 1966",New York Jets,T 28–28,32144.0
15.0,"December 11, 1966",at Denver Broncos,W 28–10,31765.0
