Year,Entrant,Chassis,Engine,Points
1974.0,Beta Tools / March Engineering,March 741,Cosworth V8,1.0
1975.0,Beta Team March,March 741,Cosworth V8,6.5
1975.0,Beta Team March,March 751,Cosworth V8,6.5
1976.0,Beta Team March,March 761,Cosworth V8,1.0
1977.0,Beta Team Surtees,Surtees TS19,Cosworth V8,6.0
1978.0,Beta Team Surtees,Surtees TS19,Cosworth V8,1.0
1978.0,Beta Team Surtees,Surtees TS20,Cosworth V8,1.0
1979.0,Autodelta,Alfa Romeo 177,Alfa Romeo Flat-12,0.0
1979.0,Autodelta,Alfa Romeo 179,Alfa Romeo Flat-12,0.0
1980.0,Marlboro Team Alfa Romeo,Alfa Romeo 179,Alfa Romeo V12,0.0
