Year,Date,Home Team,Result,Visiting Team,Venue,Attendance
1950.0,October 1,San Francisco 49ers,14-35,Los Angeles Rams,Kezar Stadium,27262.0
1950.0,November 5,Los Angeles Rams,28-21,San Francisco 49ers,Los Angeles Memorial Coliseum,33234.0
1951.0,October 28,San Francisco 49ers,44-17,Los Angeles Rams,Kezar Stadium,49538.0
1951.0,November 4,Los Angeles Rams,23-16,San Francisco 49ers,Los Angeles Memorial Coliseum,54346.0
1952.0,November 23,Los Angeles Rams,35-9,San Francisco 49ers,Los Angeles Memorial Coliseum,77698.0
1952.0,November 30,San Francisco 49ers,21-34,Los Angeles Rams,Kezar Stadium,48731.0
1953.0,October 4,San Francisco 49ers,31-30,Los Angeles Rams,Kezar Stadium,43922.0
1953.0,November 8,Los Angeles Rams,27-31,San Francisco 49ers,Los Angeles Memorial Coliseum,85865.0
1954.0,October 3,Los Angeles Rams,24-24,San Francisco 49ers,Los Angeles Memorial Coliseum,93621.0
1954.0,November 7,San Francisco 49ers,34-42,Los Angeles Rams,Kezar Stadium,58958.0
1955.0,September 25,San Francisco 49ers,23-14,Los Angeles Rams,Kezar Stadium,60100.0
1955.0,November 6,Los Angeles Rams,27-14,San Francisco 49ers,Los Angeles Memorial Coliseum,85302.0
1956.0,October 7,San Francisco 49ers,33-30,Los Angeles Rams,Kezar Stadium,54589.0
1956.0,November 11,Los Angeles Rams,30-6,San Francisco 49ers,Los Angeles Memorial Coliseum,69828.0
1957.0,October 6,San Francisco 49ers,23-20,Los Angeles Rams,Kezar Stadium,59637.0
1957.0,November 10,Los Angeles Rams,37-24,San Francisco 49ers,Los Angeles Memorial Coliseum,102368.0
1958.0,October 5,San Francisco 49ers,3-33,Los Angeles Rams,Kezar Stadium,73164.0
1958.0,November 9,Los Angeles Rams,56-7,San Francisco 49ers,Los Angeles Memorial Coliseum,95082.0
1959.0,October 4,San Francisco 49ers,34-0,Los Angeles Rams,Kezar Stadium,56028.0
1959.0,November 8,Los Angeles Rams,16-24,San Francisco 49ers,Los Angeles Memorial Coliseum,94376.0
