Driver,Constructor,Laps,Time/Retired,Grid
David Coulthard,Williams - Renault,71.0,1:41:52.145,1.0
Michael Schumacher,Benetton - Renault,71.0,+7.248,3.0
Damon Hill,Williams - Renault,71.0,+22.121,2.0
Gerhard Berger,Ferrari,71.0,+1:24.879,4.0
Jean Alesi,Ferrari,71.0,+1:25.429,7.0
Heinz-Harald Frentzen,Sauber - Ford,70.0,+1 Lap,5.0
Johnny Herbert,Benetton - Renault,70.0,+1 Lap,6.0
Martin Brundle,Ligier - Mugen-Honda,70.0,+1 Lap,9.0
Mark Blundell,McLaren - Mercedes,70.0,+1 Lap,12.0
Eddie Irvine,Jordan - Peugeot,70.0,+1 Lap,10.0
Rubens Barrichello,Jordan - Peugeot,70.0,+1 Lap,8.0
Jean-Christophe Boullion,Sauber - Ford,70.0,+1 Lap,14.0
Mika Salo,Tyrrell - Yamaha,69.0,+2 Laps,15.0
Luca Badoer,Minardi - Ford,68.0,+3 Laps,18.0
Taki Inoue,Footwork - Hart,68.0,+3 Laps,19.0
Pedro Diniz,Forti - Ford,66.0,+5 Laps,22.0
Roberto Moreno,Forti - Ford,64.0,+7 Laps,23.0
Andrea Montermini,Pacific - Ford,53.0,Gearbox,21.0
Mika Häkkinen,McLaren - Mercedes,44.0,Engine,13.0
Jean-Denis Délétraz,Pacific - Ford,14.0,Physical,24.0
Olivier Panis,Ligier - Mugen-Honda,10.0,Spun off,11.0
Pedro Lamy,Minardi - Ford,7.0,Gearbox,17.0
Ukyo Katayama,Tyrrell - Yamaha,0.0,Collision,16.0
Massimiliano Papis,Footwork - Hart,0.0,Gearbox,20.0
