Heat,Lane,Name,Country,Mark,React
1.0,4.0,Susanna Kallur,Sweden,7.87,0.259
1.0,8.0,Lacena Golding-Clarke,Jamaica,8.01,0.23
1.0,2.0,Eline Berings,Belgium,8.05 NR,0.151
1.0,6.0,Angela Whyte,Canada,8.16,0.221
1.0,7.0,Reïna-Flor Okori,France,8.18,0.256
1.0,5.0,Glory Alozie,Spain,8.19 SB,0.173
1.0,3.0,Esen Kizildag,Turkey,8.33 SB,0.277
2.0,2.0,Nevin Yanit,Turkey,8.09,0.255
2.0,4.0,Yuliya Kondakova,Russia,8.13,0.187
2.0,5.0,Cindy Billaud,France,8.20,0.151
2.0,3.0,Yauhenia Valadzko,Belarus,8.27,0.257
2.0,7.0,Toyin Augustus,Nigeria,8.46,0.233
2.0,8.0,Priscilla Lopes-Schliep,Canada,8.66,0.206
2.0,6.0,Fadwa Al Bouza,Syria,9.06 SB,0.272
3.0,2.0,Anay Tejeda,Cuba,7.93,0.133
3.0,5.0,Micol Cattaneo,Italy,8.02 PB,0.149
3.0,3.0,Candice Davis,United States,8.02,0.149
3.0,4.0,Miriam Bobková,Slovakia,8.08,0.181
3.0,7.0,Kia Davis,Liberia,8.14,0.195
3.0,6.0,Flóra Redoúmi,Greece,DNF,0.242
4.0,7.0,Josephine Onyia,Spain,7.84 PB,0.171
4.0,4.0,LoLo Jones,United States,7.96,0.184
4.0,5.0,Aleksandra Antonova,Russia,8.05,0.123
4.0,8.0,Sarah Claxton,United Kingdom,8.12,0.207
4.0,6.0,Yevgeniya Snihur,Ukraine,8.16,0.134
4.0,3.0,Denisa Šcerbová,Czech Republic,8.42,0.235
4.0,2.0,Anne Møller,Denmark,8.54,0.256
