Year,Population (Total),(Barcaldine),(Aramac),(Jericho)
1933.0,5905.0,2612.0,1679.0,1614.0
1947.0,5218.0,2147.0,1592.0,1479.0
1954.0,5514.0,2200.0,1714.0,1600.0
1961.0,5797.0,2384.0,1790.0,1623.0
1966.0,5435.0,2282.0,1652.0,1501.0
1971.0,4456.0,1868.0,1168.0,1420.0
1976.0,4059.0,1780.0,1059.0,1220.0
1981.0,4042.0,1783.0,1082.0,1177.0
1986.0,3981.0,1779.0,1097.0,1105.0
1991.0,3762.0,1813.0,832.0,1117.0
1996.0,3594.0,1850.0,778.0,966.0
2001.0,3536.0,1773.0,742.0,1021.0
2006.0,3492.0,1818.0,754.0,920.0
