Position,Club,Played,Wins,Draws,Losses,Goals for,Goals against,Points,Goal Difference
1.0,Levski,30.0,24.0,5.0,1.0,96.0,13.0,77.0,83.0
2.0,CSKA,30.0,23.0,3.0,4.0,68.0,13.0,72.0,55.0
3.0,Lokomotiv Sofia,30.0,23.0,3.0,4.0,70.0,28.0,72.0,42.0
4.0,Litex,30.0,19.0,5.0,6.0,65.0,29.0,62.0,36.0
5.0,Slavia,30.0,14.0,7.0,9.0,47.0,35.0,49.0,12.0
6.0,Cherno More,30.0,14.0,5.0,11.0,37.0,29.0,47.0,8.0
7.0,Lokomotiv Plovdiv,30.0,13.0,4.0,13.0,47.0,43.0,43.0,4.0
8.0,Belasitsa,30.0,11.0,5.0,14.0,38.0,43.0,38.0,-5.0
9.0,Botev Plovdiv,30.0,11.0,4.0,15.0,41.0,45.0,37.0,-4.0
10.0,Vihren,30.0,11.0,4.0,15.0,27.0,39.0,37.0,-12.0
11.0,Beroe,30.0,10.0,6.0,14.0,34.0,33.0,36.0,1.0
12.0,Marek,30.0,9.0,7.0,14.0,39.0,60.0,34.0,-21.0
13.0,Spartak Varna,30.0,10.0,3.0,17.0,27.0,51.0,33.0,-24.0
14.0,Rilski sportist,30.0,10.0,0.0,20.0,31.0,53.0,30.0,-22.0
15.0,Rodopa,30.0,5.0,4.0,21.0,22.0,52.0,19.0,-30.0
16.0,Chernomorets Sf,30.0,0.0,1.0,29.0,8.0,131.0,-2.0,-123.0
