Game,November,Opponent,Score,Record
12.0,3.0,@ Los Angeles Kings,7 - 1,7-1-4
13.0,5.0,@ California Golden Seals,8 - 1,8-1-4
14.0,6.0,@ Vancouver Canucks,3 - 1,9-1-4
15.0,10.0,Los Angeles Kings,7 - 1,10-1-4
16.0,13.0,Buffalo Sabres,5 - 2,11-1-4
17.0,14.0,Vancouver Canucks,6 - 1,12-1-4
18.0,20.0,@ Minnesota North Stars,4 - 1,12-2-4
19.0,21.0,California Golden Seals,12 - 1,13-2-4
20.0,24.0,St. Louis Blues,8 - 3,14-2-4
21.0,27.0,@ Detroit Red Wings,3 - 1,14-3-4
22.0,28.0,@ Philadelphia Flyers,4 - 2,15-3-4
