No. in series,No. in season,Title,Directed by,Written by,Original air date
458.0,1.0,"""Out of the Ashes""",Ian Gilmourn,Louise Crane-Bowes,3February2009
459.0,2.0,"""Dreams and Nightmares""",Jet Wilkinson,Sean Nash,10February2009
460.0,3.0,"""Day One""",Samantha Lang,Trent Atkinson,17February2009
461.0,4.0,"""Sins of the Past""",Marcus Cole,Jenny and Lesley Lewis,24February2009
462.0,5.0,"""Evil is As Evil Does""",Jean-Pierre Mignon,Denise Morgan,3March2009
463.0,6.0,"""Facing the Music""",Nicholas Buffalo,Michael Miller,10March2009
464.0,7.0,"""Awake in Fright""",Daniel Nettheim,Lily Taylor,17March2009
465.0,8.0,"""Behind Closed Doors""",Jet Wilkinson,Sally Webb,24March2009
466.0,9.0,"""Danger Zone""",Ian Gilmourn,Fiona Kelly,31March2009
467.0,10.0,"""Pushed Too Far""",Marcus Cole,Chris McCourt & Linda Stainton,21April2009
468.0,11.0,"""Handle with Care""",Jean-Pierre Mignon,Andrew Kelly,28April2009
469.0,12.0,"""The Devil Within""",Cherie Nowlan,Sean Nash,5May2009
470.0,13.0,"""Give & Take""",Ian Watson,Trent Atkinson,12May2009
471.0,14.0,"""When the Bough Breaks""",Lynn-Maree Danzey,Jeff Truman,19May2009
472.0,15.0,"""Seeing the Light""",Ian Gilmourn,Alexa Wyatt,26May2009
473.0,16.0,"""We All Fall Down""",Geoff Bennett,Clare Atkinson,2June2009
474.0,17.0,"""Bodies in Motion""",Jet Wilkinson,Lily Taylor,9June2009
475.0,18.0,"""On Second Thoughts...""",Ian Watson,Sally Webb,16June2009
476.0,19.0,"""Starting Over""",Marcus Cole,Fiona Kelly,23June2009
477.0,20.0,"""Curve Balls""",Lynn-Maree Danzey,Chris McCourt,30June2009
478.0,21.0,"""Test of Faith""",Ian Gilmourn,Blake Ayshford,7July2009
479.0,22.0,"""Blood is Thicker""",Jean-Pierre Mignon,Martin McKenna,14July2009
480.0,23.0,"""Out of Control""",Jet Wilkinson,Lesley and Jenny Lewis,21July2009
481.0,24.0,"""In Trust""",Di Drew,Trent Atkinson,28July2009
482.0,25.0,"""In Duty Bound""",Marcus Cole,Denise Morgan,4August2009
483.0,26.0,"""The Waiting Game""",Lynn-Maree Danzey,Lily Taylor,11August2009
484.0,27.0,"""A Precious Waste""",Ian Gilmourn,Clare Atkinson,18August2009
485.0,28.0,"""Tell-Tale Hearts""",Jean-Pierre Mignon,Trent Atkinson,25August2009
486.0,29.0,"""Moving On""",Jet Wilkinson,Fiona and Andrew Kelly,1September2009
487.0,30.0,"""Safe Haven""",Scott Hartford Davis,Chris McCourt,8September2009
488.0,31.0,"""Win Some, Lose Some""",Marcus Cole,Andrew Kelly,15September2009
489.0,32.0,"""What It Takes""",Lynn-Maree Danzey,Trent Atkinson,22September2009
490.0,33.0,"""Too Close for Comfort""",Jean-Pierre Mignon,Jenny Lewis & Hamish Cameron,29September2009
491.0,34.0,"""Damned If You Do""",Pino Amenta,Martin McKenna,6October2009
492.0,35.0,"""The Two of Us""",Jet Wilkinson,Kim Wilson & Luke Devenish,13October2009
493.0,36.0,"""Reality Check""",Di Drew,Blake Ayshford,20October2009
