Game,March,Opponent,Score,Record
64.0,2.0,Boston Bruins,2 - 1,30-25-9
65.0,5.0,Buffalo Sabres,4 - 2,31-25-9
66.0,8.0,@ Montreal Canadiens,5 - 2,31-26-9
67.0,9.0,Minnesota North Stars,4 - 2,32-26-9
68.0,12.0,Colorado Rockies,6 - 0,33-26-9
69.0,15.0,@ Toronto Maple Leafs,8 - 4,34-26-9
70.0,16.0,St. Louis Blues,5 - 2,35-26-9
71.0,19.0,@ Edmonton Oilers,4 - 2,35-27-9
72.0,21.0,@ Winnipeg Jets,4 - 2,35-28-9
73.0,23.0,Montreal Canadiens,6 - 1,35-29-9
74.0,25.0,Buffalo Sabres,3 - 3,35-29-10
75.0,28.0,@ Atlanta Flames,4 - 2,35-30-10
76.0,29.0,@ St. Louis Blues,4 - 3,36-30-10
77.0,31.0,Detroit Red Wings,7 - 5,37-30-10
