No.,Title,Directed by,Written by,Original air date,Production code,U.S. viewers (million)
1.0,"""Pilot""",David Nutter,Jennifer Johnson,"September20,2010",296770,7.31
2.0,"""Repo""",Karen Gaviola,Greg Plageman,"September27,2010",2J5503,6.33
3.0,"""The Comeback Kid""",Dermott Downs,Jerome Schwartz,"October4,2010",2J5505,5.78
4.0,"""Paranoia""",Karen Gaviola,Erica L. Anderson,"October11,2010",2J5506,4.92
5.0,"""Above the Law""",Paul McCrane,Tracy McMillan,"October18,2010",2J5504,5.18
6.0,"""Havoc""",Jeffrey Hunt,Ryan Farley,"October25,2010",2J5507,4.89
7.0,"""The Posse""",Holly Dale,Erik Oleson,"November8,2010",2J5508,4.55
8.0,"""The Longest Night""",Dermott Downs,Scott M. Gimple,"November15,2010",2J5509,4.57
9.0,"""Crazy Love""",Dean White,Dario Scardapane & Tracy McMillan,"November22,2010",2J5510,5.34
10.0,"""Under the Radar""",Deran Sarafian,Jennifer Johnson,"November29,2010",2J5502,6.03
11.0,"""Betrayed""",Eagle Egilsson,Erik Mountain & Jerome Schwartz,"December6,2010",2J5511,4.99
12.0,"""Narco (Part 1)""",Dermott Downs,Jennifer Johnson & Shaina Steinberg,"January19,2011",2J5512,4.35
13.0,"""Narco (Part 2)""",Holly Dale,Erik Oleson & Jerome Schwartz,"January26,2011",2J5513,4.17
15.0,"""Seven Years""",Dermott Downs,Jennifer Johnson & Shaina Steinberg,"April30,2011",2J5515,3.74
16.0,"""Roundup""",Eagle Egilsson,Erik Oleson & Erik Mountain,"May7,2011",2J5516,3.62
17.0,"""The Man At The Altar""",Holly Dale,Jeffrey Lieber & Jerome Schwartz,"May14,2011",2J5517,2.77
