No.,#,Title,Directed by,Written by,U.S. air date,Production code,U.S. viewers (million)
67.0,1.0,""" Crusade""",Greg Beeman,Alfred Gough & Miles Millar,"September22,2004",2T5201,6.07
68.0,2.0,""" Gone""",James Marshall,Kelly Souders & Brian Peterson,"September29,2004",2T5202,5.66
69.0,3.0,""" Façade""",Pat Williams,Holly Harold,"October6,2004",2T5203,5.45
70.0,4.0,""" Devoted""",David Carson,Luke Schelhaas,"October13,2004",2T5204,6.20
71.0,5.0,""" Run""",David Barrett,Steven S. DeKnight,"October20,2004",2T5205,5.41
72.0,6.0,""" Transference""",James Marshall,Todd Slavkin & Darren Swimmer,"October27,2004",2T5206,5.69
73.0,7.0,""" Jinx""",Paul Shapiro,Mark Warshaw,"November3,2004",2T5207,5.02
74.0,8.0,""" Spell""",Jeannot Szwarc,Steven S. DeKnight,"November10,2004",2T5208,5.51
75.0,9.0,""" Bound""",Terrence O'Hara,Luke Schelhaas,"November17,2004",2T5209,5.06
76.0,10.0,""" Scare""",David Carson,Kelly Souders & Brian Peterson,"December1,2004",2T5210,4.89
77.0,11.0,""" Unsafe""",Greg Beeman,Steven S. DeKnight & Jeph Loeb,"January26,2005",2T5211,4.21
78.0,12.0,""" Pariah""",Paul Shapiro,Holly Harold,"February2,2005",2T5212,4.78
79.0,13.0,""" Recruit""",Jeannot Szwarc,Todd Slavkin & Darren Swimmer,"February9,2005",2T5213,4.91
80.0,14.0,""" Krypto""",James Marshall,Luke Schelhaas,"February16,2005",2T5214,5.08
81.0,15.0,""" Sacred""",Brad Turner,Kelly Souders & Brian Peterson,"February23,2005",2T5215,5.26
82.0,16.0,""" Lucy""",David Barrett,Neil Sadhu & Daniel Sulzberg,"March2,2005",2T5216,4.51
83.0,17.0,""" Onyx""",Terrence O'Hara,Steven S. DeKnight,"April13,2005",2T5217,3.85
84.0,18.0,""" Spirit""",Whitney Ransick,Luke Schelhaas,"April20,2005",2T5218,4.39
85.0,19.0,""" Blank""",Jeannot Szwarc,Kelly Souders & Brian Peterson,"April27,2005",2T5219,4.59
86.0,20.0,""" Ageless""",Steven S. DeKnight,Steven S. DeKnight,"May4,2005",2T5220,4.51
87.0,21.0,""" Forever""",James Marshall,Brian Peterson & Kelly Souders,"May11,2005",2T5221,3.96
